checkpoint,train_records,job_id,batch_size,output_tok_s_per_gpu,acceptance_pct,mean_acceptance_length,speedup_vs_openmath_baseline_bs32,throughput_ratio_vs_public_pard_k5_bs32,status,notes
openmath_baseline,0,3164321,32,484.09,,,1.0,,reference,OpenMath baseline reference from prior held-out gate
public_pard_k5,0,3164332,32,635.6510038124845,45.51083591331269,,1.3130843516959338,1.0,reference,Public amd/PARD-Qwen3-0.6B K5 OpenMath gate
local_pard_k5_smoke64,64,3170614,32,524.985385713208,46.32143218367553,3.3160716091837767,1.0844788896965605,0.8259019219107178,completed,Compatibility result only; trained on 64 records
local_pard_k5_partial180,180,3170854,32,520.9784257178072,46.339538648320516,3.316976932416026,1.076201585898918,0.819598211271754,completed,Multi-chunk checkpoint; trained on 180 records; acceptance nearly unchanged vs smoke64/public K5
local_pard_k5_partial450_train,450,3171014,,,,,,,completed,Training completed in 7 steps; train_loss=1.5498048237391882; artifact removed in 2026-06-05 cleanup after result was retained
local_pard_k5_partial450_gate,450,3171063,32,419.0565310041049,44.748741238029424,3.237437061901471,0.8656583094137555,0.6592556740895599,completed,OpenMath bs32 gate; throughput and acceptance regressed vs partial180/public PARD K5; artifact removed in 2026-06-05 cleanup
local_pard_k5_prefix_reward_1024_train,1024,3171476,,,,,,,completed,Prefix-reward label-mask training completed in 16 steps; train_loss=1.3906329870224; artifact removed in 2026-06-05 cleanup after result was retained
local_pard_k5_prefix_reward_1024_gate,1024,3171517,32,505.6927214573048,45.44710578842315,3.272355289421158,1.0446254239032098,0.7955508894413433,completed,OpenMath bs32 gate completed for checkpoint-16; prefix-reward did not improve public PARD K5 acceptance or throughput; artifact removed in 2026-06-05 cleanup
local_pard_k5_merge_alpha_0p10_gate,1024,3171764,32,528.2799707083178,46.55028925200447,3.3275144626002233,1.091284617960127,0.8310849311018458,completed,Interpolated public PARD with prefix-reward checkpoint alpha=0.10; best merge result but still below public PARD K5 throughput; artifact removed in 2026-06-05 cleanup
local_pard_k5_merge_alpha_0p25_gate,1024,3171765,32,448.8882241591195,45.77536886479976,3.288768443239988,0.9272825800142939,0.7061866047041442,completed,Interpolated public PARD with prefix-reward checkpoint alpha=0.25; regressed below baseline; artifact removed in 2026-06-05 cleanup
local_pard_k5_merge_alpha_0p50_gate,1024,3171767,32,497.0704193697347,46.28461693955933,3.3142308469779667,1.02681406219863,0.7819863673437527,completed,Interpolated public PARD with prefix-reward checkpoint alpha=0.50; slight baseline speedup but below public PARD K5; artifact removed in 2026-06-05 cleanup
public_pard_k5_current_harness_recal,0,3171868,32,484.48260746012267,45.989132622258,3.2994566311129,1.0008110216284631,0.7621833436182912,completed,Same current harness/node-era recalibration of amd/PARD-Qwen3-0.6B K5; historical 635.65 tok/s/GPU public reference was not reproduced
local_pard_k5_cat_logprob_128_gate,128,3172639,32,482.0769628715096,46.96610861576154,3.3483054307880766,0.9958477404110673,0.7583988068611957,completed,CAT prefix-product 128-row logprob smoke; acceptance improved about +0.98pp vs current public recal but throughput stayed flat/slightly below baseline and public recal; artifact removed in 2026-06-05 cleanup
local_pard_k5_cat_logprob_1024_train_512x2,1024,3173170,,,,,,,cancelled,Cancelled after teacher chunks 3173152 and 3173162 showed too-slow row progress; 512-row chunks likely would miss the 4h partition limit
local_pard_k5_cat_logprob_1024_gate_512x2,1024,3173184,32,,,,,,cancelled,Cancelled with train 3173170; superseded by 128x8 teacher pipeline
local_pard_k5_cat_logprob_1024_8x128_train,1024,3173318,,,,,,,cancelled,Cancelled after about 32m because it stayed in fresh venv pip install; partial venv was missing datasets/trl and deepspeed was not usable
local_pard_k5_cat_logprob_1024_8x128_gate,1024,3173321,32,,,,,,cancelled,Cancelled with stuck train 3173318; superseded by venreuse retry
local_pard_k5_cat_logprob_1024_8x128_venvreuse_train,1024,3173685,,,,,,,completed,Reused validated partial180 venv and skipped pip install; completed 16 steps in 3m14s with train_loss=1.2977116107940674
local_pard_k5_cat_logprob_1024_8x128_venvreuse_gate,1024,3173688,32,436.33716655524063,47.67674682629786,3.383837341314893,0.9013610166790321,0.686441402496328,completed,OpenMath bs32 K5 gate for 1K CAT venreuse checkpoint; acceptance improved to 47.68% but throughput regressed below baseline/current public recal
local_pard_k5_weightedce_tpp_1024_8x128_train,1024,3173861,,,,,,,completed,Weighted CE token-prefix-product train using same 1K teacher-logprob data; completed in 3m32s with train_loss=19.09375; artifact removed in 2026-06-05 cleanup after regressed gate
local_pard_k5_weightedce_tpp_1024_8x128_gate,1024,3173874,32,420.6181172608519,46.66327982117456,3.333163991058728,0.8688894801260617,0.6617123464575433,completed,OpenMath bs32 K5 gate for weighted CE checkpoint; acceptance and throughput regressed vs 1K CAT and baseline, so do not promote; artifact removed in 2026-06-05 cleanup
local_pard_k5_cat_tpp_mask_1024_8x128_train,1024,3174060,,,,,,,completed,Mask-mode CAT token-prefix-product train using same 1K teacher-logprob data; completed in 3m27s with normal train_loss=1.1969220638275146
local_pard_k5_cat_tpp_mask_1024_8x128_gate,1024,3174175,32,543.0790592757871,46.710057968066714,3.3355028984033357,1.1218624736243812,0.8543667138390835,completed,OpenMath bs32 K5 gate for mask-mode token-prefix-product checkpoint; recovers modest current-harness speedup despite moderate acceptance
local_pard_k5_cat_token_mask_1024_8x128_train,1024,3174061,,,,,,,completed,Mask-mode CAT token-confidence-only train using same 1K teacher-logprob data; completed in 3m26s with normal train_loss=1.3213860988616943
