label,k,bs,status,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_acceptance_length,num_drafts,num_accepted_tokens,latency_s,path
baseline,0,64,completed,807.189,1.000,,,,,20.298,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_baseline_20260608_070934/breakdown.json
baseline,0,128,completed,1372.764,1.000,,,,,23.870,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_baseline_20260608_070934/breakdown.json
public_pard_k5,5,64,completed,1016.292,1.259,45.01,3.250,20174,45399,16.121,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k5_20260608_070934/breakdown.json
public_pard_k5,5,128,completed,1605.714,1.170,44.77,3.238,40503,90656,20.407,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k5_20260608_070934/breakdown.json
public_pard_k7,7,64,completed,965.733,1.196,35.18,3.463,18950,46669,16.965,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_public_k7_openmath_isl1024_osl1024_bs64-128_20260608/breakdown.json
public_pard_k7,7,128,completed,1528.917,1.114,34.91,3.444,38108,93126,21.432,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_public_k7_openmath_isl1024_osl1024_bs64-128_20260608/breakdown.json
public_pard_k9,9,64,completed,957.513,1.186,28.90,3.601,18229,47413,17.111,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k9_20260608_070934/breakdown.json
public_pard_k9,9,128,completed,1426.780,1.039,28.78,3.591,36556,94700,22.966,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k9_20260608_070934/breakdown.json
public_pard_k3,3,64,completed,1055.484,1.308,57.82,2.735,23967,41572,15.523,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_public_pard_k3_openmath_isl1024_osl1024_bs64-128_20260608_100623/breakdown.json
public_pard_k3,3,128,completed,1708.114,1.244,58.30,2.749,47682,83398,19.184,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_public_pard_k3_openmath_isl1024_osl1024_bs64-128_20260608_100623/breakdown.json
public_pard_k8,8,64,completed,933.272,1.156,32.33,3.586,18292,47312,17.555,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_public_pard_k8_openmath_isl1024_osl1024_bs64-128_20260608_100623/breakdown.json
public_pard_k8,8,128,completed,1429.089,1.041,31.44,3.516,37324,93890,22.929,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_public_pard_k8_openmath_isl1024_osl1024_bs64-128_20260608_100623/breakdown.json
