scenario,label,k,batch_size,latency_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
PARD OpenMath ISL=1024 OSL=1024,baseline,0,1,8.2428970169276,31.057042138738215,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_baseline_v0202_retry3_standalone_baseline_breakdown_k0_20260604_195116/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,baseline,0,2,7.93946493184194,64.48797297996467,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_baseline_v0202_retry3_standalone_baseline_breakdown_k0_20260604_195116/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,baseline,0,4,9.962570042349398,102.78472278208623,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_baseline_v0202_retry3_standalone_baseline_breakdown_k0_20260604_195116/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,baseline,0,8,11.56340603576973,177.1104459762813,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_baseline_v0202_retry3_standalone_baseline_breakdown_k0_20260604_195116/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,baseline,0,16,13.970495829824358,293.18930765906083,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_baseline_v0202_retry3_standalone_baseline_breakdown_k0_20260604_195116/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,baseline,0,32,16.922577342949808,484.08701783318526,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_baseline_v0202_retry3_standalone_baseline_breakdown_k0_20260604_195116/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=5,5,1,15.774024864658713,16.229212404347177,0.5225614316987411,44.1875,3.209375,2.209375,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k5_v0202_retry3_standalone_specdec_breakdown_k5_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=5,5,2,11.796214069239795,43.40375623863155,0.6730519542320917,34.75935828877005,2.737967914438503,1.7379679144385027,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k5_v0202_retry3_standalone_specdec_breakdown_k5_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=5,5,4,18.98283063620329,53.9434829096072,0.5248200457180072,42.277904328018224,3.1138952164009113,2.1138952164009113,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k5_v0202_retry3_standalone_specdec_breakdown_k5_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=5,5,8,18.820498729124665,108.8175201664941,0.6144048679153966,45.84170349537967,3.2920851747689834,2.2920851747689834,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k5_v0202_retry3_standalone_specdec_breakdown_k5_20260604_195136/breakdown.json
