job_id,mode,step,total_step_time_s,generation_time_s,policy_training_s,policy_logprobs_s,prepare_generation_s,training_prep_s,e2e_tokens_per_sec_gpu
3198446,baseline,1,155.62,18.67,77.01,53.19,5.62,0.04,73.38
3198446,baseline,2,91.67,16.43,34.85,16.32,14.59,8.58,123.08
3198446,baseline,3,85.96,16.09,34.63,15.93,11.24,7.13,136.51
3198446,baseline,4,86.04,15.87,33.78,15.28,11.24,8.95,133.17
3198446,baseline,5,83.17,15.77,32.42,16.76,11.47,5.83,139.31
3198446,baseline,6,82.06,15.38,34.26,15.51,10.47,5.49,149.36
3198446,baseline,7,84.72,15.35,34.77,15.17,10.21,8.30,134.49
3198446,baseline,8,97.22,15.71,34.90,16.67,10.10,18.92,163.65
3198446,baseline,9,81.72,15.31,32.21,15.13,9.71,8.42,142.49
3198446,baseline,10,80.23,15.65,31.62,15.61,9.54,6.91,143.32
3198446,baseline,11,81.45,15.87,31.91,15.19,9.37,8.20,138.32
3198446,baseline,12,83.18,15.37,32.20,15.03,10.37,9.27,138.54
3198446,baseline,13,83.21,15.70,32.55,15.51,9.41,9.08,140.96
3198446,baseline,14,84.06,16.17,33.42,16.13,9.51,7.89,155.27
3198446,baseline,15,94.58,15.46,39.96,15.61,9.53,13.07,136.07
3198446,baseline,16,80.53,15.94,31.95,15.29,10.39,6.06,146.92
3198446,baseline,17,78.53,16.36,31.10,15.10,9.37,5.66,139.20
3198446,baseline,18,82.47,15.40,33.61,15.50,9.88,7.16,139.25
3198446,baseline,19,79.36,15.49,31.22,16.04,9.60,6.10,144.48
3198446,baseline,20,82.24,16.29,32.56,15.05,10.02,7.40,137.85
3198447,public PARD K3,1,152.03,17.28,63.31,64.18,6.17,0.04,75.12
3198447,public PARD K3,2,95.74,11.70,39.97,15.94,18.86,8.39,117.85
3198447,public PARD K3,3,84.76,10.52,36.44,15.44,12.99,8.50,138.43
3198447,public PARD K3,4,83.90,10.30,36.13,15.39,12.27,8.83,136.57
3198447,public PARD K3,5,82.03,10.86,33.46,15.49,11.65,9.59,141.25
3198447,public PARD K3,6,82.70,11.49,35.60,16.02,10.97,7.73,148.20
3198447,public PARD K3,7,79.49,10.32,33.02,15.05,11.23,8.99,143.35
3198447,public PARD K3,8,82.03,10.70,35.63,16.27,10.85,7.67,193.96
3198447,public PARD K3,9,78.03,10.84,32.30,14.29,10.74,9.00,149.23
3198447,public PARD K3,10,79.21,10.57,33.17,15.06,10.95,8.59,145.15
3198447,public PARD K3,11,78.03,10.33,32.47,15.14,11.37,7.83,144.39
3198447,public PARD K3,12,77.72,10.44,32.03,15.19,10.34,8.84,148.28
3198447,public PARD K3,13,79.96,10.51,33.36,14.99,11.54,8.68,146.70
3198447,public PARD K3,14,82.69,10.70,34.52,16.05,11.69,8.85,157.85
3198447,public PARD K3,15,83.73,13.63,35.46,15.35,10.25,8.17,153.70
3198447,public PARD K3,16,80.03,10.90,33.82,14.87,10.89,8.68,147.84
3198447,public PARD K3,17,79.13,10.79,32.71,15.07,10.91,8.79,138.15
3198447,public PARD K3,18,81.78,10.26,34.42,15.09,10.99,10.15,140.43
3198447,public PARD K3,19,79.67,10.39,32.50,14.96,11.23,9.68,143.91
3198447,public PARD K3,20,79.40,10.31,33.15,14.83,10.83,9.40,142.77
