model,method,isl,osl,batch_size,baseline_output_tok_s,method_output_tok_s,throughput_speedup,latency_speedup,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,1,305.487959,151.531634,0.496031,0.496031,53.071429,3.653571,2.653571
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,2,515.891026,177.386310,0.343845,0.343845,40.532544,3.026627,2.026627
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,4,884.745190,381.572691,0.431280,0.431280,37.154812,2.857741,1.857741
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,8,1451.493871,739.536677,0.509500,0.509500,38.535714,2.926786,1.926786
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,16,2323.433380,1397.680139,0.601558,0.601558,38.217646,2.910882,1.910882
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,32,3770.505170,2663.929841,0.706518,0.706518,37.576609,2.878830,1.878830
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,1,305.487959,158.955607,0.520333,0.520333,53.333333,3.666667,2.666667
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,2,515.891026,235.055173,0.455630,0.455630,41.287425,3.064371,2.064371
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,4,884.745190,415.341244,0.469447,0.469447,38.032555,2.901628,1.901628
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,8,1451.493871,774.106876,0.533317,0.533317,39.070270,2.953514,1.953514
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,16,2323.433380,1474.159288,0.634475,0.634475,38.570663,2.928533,1.928533
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,32,3770.505170,2861.045834,0.758796,0.758796,38.248201,2.912410,1.912410
Qwen3-30B-A3B-Thinking-2507,local_cat_early512_k5,1024,1024,1,305.487959,163.659359,0.535731,0.535731,53.862816,3.693141,2.693141
Qwen3-30B-A3B-Thinking-2507,local_cat_early512_k5,1024,1024,2,515.891026,248.103271,0.480922,0.480922,42.374429,3.118721,2.118721
Qwen3-30B-A3B-Thinking-2507,local_cat_early512_k5,1024,1024,4,884.745190,431.682562,0.487917,0.487917,39.019466,2.950973,1.950973
Qwen3-30B-A3B-Thinking-2507,local_cat_early512_k5,1024,1024,8,1451.493871,944.327932,0.650590,0.650590,42.319392,3.115970,2.115970
Qwen3-30B-A3B-Thinking-2507,local_cat_early512_k5,1024,1024,16,2323.433380,1555.691890,0.669566,0.669566,40.591388,3.029569,2.029569
Qwen3-30B-A3B-Thinking-2507,local_cat_early512_k5,1024,1024,32,3770.505170,2704.201481,0.717199,0.717199,40.023801,3.001190,2.001190
Qwen3-30B-A3B-Thinking-2507,local_cat_1024_k5,1024,1024,1,305.487959,165.644057,0.542228,0.542228,54.945055,3.747253,2.747253
Qwen3-30B-A3B-Thinking-2507,local_cat_1024_k5,1024,1024,2,515.891026,212.204783,0.411336,0.411336,42.568807,3.128440,2.128440
Qwen3-30B-A3B-Thinking-2507,local_cat_1024_k5,1024,1024,4,884.745190,373.646933,0.422322,0.422322,39.361856,2.968093,1.968093
Qwen3-30B-A3B-Thinking-2507,local_cat_1024_k5,1024,1024,8,1451.493871,675.918733,0.465671,0.465671,42.742244,3.137112,2.137112
Qwen3-30B-A3B-Thinking-2507,local_cat_1024_k5,1024,1024,16,2323.433380,1406.784262,0.605476,0.605476,40.714815,3.035741,2.035741
Qwen3-30B-A3B-Thinking-2507,local_cat_1024_k5,1024,1024,32,3770.505170,3279.996344,0.869909,0.869909,40.218529,3.010926,2.010926
