model,method,isl,osl,batch_size,baseline_output_tok_s,method_output_tok_s,throughput_speedup,latency_speedup,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,1,305.487959,151.531634,0.496031,0.496031,53.071429,3.653571,2.653571
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,2,515.891026,177.386310,0.343845,0.343845,40.532544,3.026627,2.026627
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,4,884.745190,381.572691,0.431280,0.431280,37.154812,2.857741,1.857741
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,8,1451.493871,739.536677,0.509500,0.509500,38.535714,2.926786,1.926786
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,16,2323.433380,1397.680139,0.601558,0.601558,38.217646,2.910882,1.910882
Qwen3-30B-A3B-Thinking-2507,public_pard_k5,1024,1024,32,3770.505170,2663.929841,0.706518,0.706518,37.576609,2.878830,1.878830
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,1,305.487959,158.955607,0.520333,0.520333,53.333333,3.666667,2.666667
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,2,515.891026,235.055173,0.455630,0.455630,41.287425,3.064371,2.064371
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,4,884.745190,415.341244,0.469447,0.469447,38.032555,2.901628,1.901628
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,8,1451.493871,774.106876,0.533317,0.533317,39.070270,2.953514,1.953514
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,16,2323.433380,1474.159288,0.634475,0.634475,38.570663,2.928533,1.928533
Qwen3-30B-A3B-Thinking-2507,local_cat_early256_k5,1024,1024,32,3770.505170,2861.045834,0.758796,0.758796,38.248201,2.912410,1.912410
