model,job,mode,k,step,gen_tok_s_gpu,e2e_tokens_s,acceptance_rate_pct,per_position_acceptance_pct,gen_speedup_vs_baseline,e2e_speedup_vs_baseline,note
Qwen3-32B,3136000,baseline,,1,1301.84,11570.09,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,2,931.72,9604.41,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,3,1356.22,12625.36,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,4,1233.09,12001.40,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,5,1180.94,11724.57,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,6,1158.09,11512.38,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,7,1218.97,11953.79,,,1.0000,1.0000,GBS512 worker32 early signal
Qwen3-32B,3136000,baseline,,8,1152.13,,,,1.0000,,GBS512 worker32 Step 8 early generation only
Qwen3-32B,3136001,always,1,1,1779.09,13526.61,69.29,69.29,1.3666,1.1691,GBS512 worker32 early signal
Qwen3-32B,3136001,always,1,2,1365.31,11972.18,70.73,70.73,1.4654,1.2465,GBS512 worker32 early signal
Qwen3-32B,3136001,always,1,3,1922.32,,70.01,70.01,1.4174,,GBS512 worker32 Step 3 early generation only
Qwen3-32B,3136002,always,3,1,2064.21,14647.18,45.46,"66.34,42.82,27.20",1.5856,1.2660,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,2,1623.29,13228.23,47.29,"67.97,44.73,29.16",1.7423,1.3773,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,3,2258.40,16460.52,46.15,"67.14,43.65,27.64",1.6652,1.3038,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,4,2043.12,15797.81,46.60,"67.37,44.13,28.28",1.6569,1.3163,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,5,1955.09,15400.38,46.67,"67.40,44.10,28.48",1.6555,1.3141,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,6,1888.57,15211.60,46.32,"66.94,43.96,28.05",1.6308,1.3214,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,7,1925.85,15361.85,44.58,"65.87,41.67,26.17",1.5799,1.2851,GBS512 worker32 early signal
Qwen3-32B,3136002,always,3,8,1902.63,15626.84,43.81,"65.30,40.88,25.25",1.6514,,GBS512 worker32 Step 8 early generation matched; baseline E2E pending
Qwen3-32B,3136002,always,3,9,2027.98,15966.43,45.52,"66.30,43.02,27.23",,,GBS512 worker32 Step 9 early signal; matched baseline pending
