step,baseline_step_time_s,baseline_gen_time_s,baseline_e2e_tokens_per_sec_per_gpu,baseline_gen_tokens_per_sec_per_gpu,baseline_draft_loss,k1_step_time_s,k1_gen_time_s,k1_e2e_tokens_per_sec_per_gpu,k1_gen_tokens_per_sec_per_gpu,k1_draft_loss,k1_acceptance_pct,k1_acceptance_length,k3_step_time_s,k3_gen_time_s,k3_e2e_tokens_per_sec_per_gpu,k3_gen_tokens_per_sec_per_gpu,k3_draft_loss,k3_acceptance_pct,k3_acceptance_length
1,59.74,4.02,353.82,5256.8,9.2076,59.79,5.91,353.53,3577.97,9.2814,42.379958246346554,1.4237995824634655,58.4,6.0,361.94,3524.56,9.2525,22.131814483319772,1.6639544344995931
2,53.75,3.65,401.89,5916.96,6.9833,50.32,3.01,429.26,7171.09,6.9833,71.50041911148367,1.7150041911148366,53.83,2.96,401.24,7298.53,6.9947,48.01587301587302,2.4404761904761907
3,51.63,3.54,423.31,6166.5,7.708,48.8,3.26,447.85,6713.2,7.708,56.34556574923547,1.5634556574923546,50.79,5.44,430.31,4019.4,7.7264,32.24463656740314,1.967339097022094
4,50.8,3.32,441.12,6742.89,8.1396,47.81,3.46,468.71,6482.39,8.1684,49.3791088385683,1.493791088385683,48.92,4.02,458.08,5572.28,8.1451,28.05755395683453,1.841726618705036
5,50.85,3.39,425.37,6390.49,7.209,46.78,2.09,462.41,10330.69,7.209,72.13804713804713,1.7213804713804715,47.65,2.28,453.97,9500.07,7.2541,45.73194283507146,2.371958285052144
6,50.52,3.6,403.84,5666.82,7.4417,46.89,2.62,435.1,7776.45,7.4389,63.1578947368421,1.631578947368421,48.59,3.7,419.85,5517.28,7.4278,37.66909469302809,2.130072840790843
7,50.13,3.5,424.98,6092.05,7.3237,47.83,2.86,445.43,7441.09,7.2576,72.16148023549202,1.72161480235492,47.43,2.95,449.18,7212.55,7.2576,46.90196078431372,2.407058823529412
8,50.73,3.66,591.8,8208.36,8.5159,47.49,3.44,632.15,8732.62,8.5159,53.68421052631579,1.5368421052631578,50.08,4.0,599.55,7510.3,8.4472,28.775448192038894,1.863263445761167
9,50.15,3.56,416.81,5864.92,7.6849,49.05,3.22,426.17,6486.6,7.6849,63.75999999999999,1.6376,47.97,3.7,435.74,5653.58,7.8141,35.58694920955264,2.067608476286579
10,50.01,3.5,409.71,5859.82,8.1398,47.58,3.5,430.62,5845.8,8.2353,54.53172205438066,1.5453172205438066,48.19,3.64,425.15,5624.24,8.1251,30.34547152194211,1.9103641456582632
11,50.43,3.75,417.99,5623.05,7.1731,47.19,2.89,446.74,7293.19,7.1731,68.0921052631579,1.680921052631579,47.25,3.1,446.16,6807.23,7.167,41.90581309786608,2.2571743929359824
12,52.45,3.6,421.91,6144.57,9.3925,47.44,3.24,466.47,6819.55,9.3925,39.305177111716624,1.3930517711171662,48.92,3.76,452.31,5890.47,9.3958,20.114942528735632,1.603448275862069
13,50.78,3.82,421.08,5594.82,7.9206,47.55,3.05,449.7,7012.71,7.9206,60.31372549019608,1.6031372549019607,48.19,3.56,443.73,6000.89,7.9282,36.468984321745054,2.0940695296523515
14,49.77,3.53,405.68,5724.34,7.1168,45.81,2.99,440.78,6754.53,7.1168,71.70445004198153,1.7170445004198154,47.29,2.92,427.01,6918.05,7.1196,46.354775828460035,2.390643274853801
15,50.52,3.54,417.23,5948.11,7.4424,47.64,2.92,442.49,7231.08,7.4424,73.01184433164129,1.730118443316413,49.03,2.9,429.97,7263.58,7.4369,45.64043209876543,2.369212962962963
16,49.88,3.47,423.08,6086.38,7.1168,47.23,3.03,446.8,6961.59,7.1168,69.70954356846472,1.6970954356846473,47.22,2.97,446.94,7100.36,6.9979,46.604215456674474,2.398126463700234
17,50.63,3.61,421.86,5920.37,7.7763,48.68,3.37,438.8,6343.77,7.7808,59.020217729393465,1.5902021772939348,48.9,3.83,436.79,5570.61,7.7274,34.73053892215569,2.0419161676646707
18,50.27,3.53,437.35,6222.71,8.2798,47.39,3.28,463.85,6710.53,8.2798,50.92250922509225,1.5092250922509225,48.69,3.57,451.51,6152.01,8.2762,29.094236047575478,1.8728270814272645
19,49.7,3.54,438.48,6159.27,7.2194,47.32,3.03,460.54,7182.37,7.2194,73.9795918367347,1.739795918367347,47.45,2.8,459.23,7779.04,7.2641,47.8968253968254,2.4369047619047617
20,50.84,3.53,424.1,6108.49,7.4314,46.92,2.79,459.48,7719.68,7.4314,69.85049833887044,1.6985049833887045,48.75,2.95,442.27,7311.29,7.3884,43.71708051166291,2.3115124153498874
