mode,job,step,generation_time_s,generation_finish_s,total_step_time_s,policy_training_s,logprob_s,generation_worker_tokens_per_sec_per_gpu,e2e_tokens_per_sec_per_gpu,draft_loss
baseline,3149928,1,2.56,1.38,54.70,29.45,17.09,8248.46,386.39,9.2076
baseline,3149928,2,2.07,1.48,50.63,19.76,16.78,10430.93,426.64,6.9833
baseline,3149928,3,2.06,1.42,47.45,19.10,16.42,10592.44,460.59,7.7080
baseline,3149928,4,2.07,2.14,46.90,19.12,16.46,10841.60,477.77,8.1396
baseline,3149928,5,2.07,1.54,47.58,19.09,16.42,10454.04,454.62,7.2090
baseline,3149928,6,2.06,1.55,47.82,19.13,16.44,9907.53,426.61,7.4417
baseline,3149928,7,2.06,1.47,47.46,19.19,16.47,10334.04,448.92,7.3237
baseline,3149928,8,2.24,1.12,47.79,19.49,16.60,13379.42,628.30,8.5159
baseline,3149928,9,2.06,1.09,47.55,19.09,16.40,10164.35,439.66,7.6849
baseline,3149928,10,2.05,1.40,47.38,19.11,16.41,9989.96,432.41,8.1398
baseline,3149928,11,2.07,1.49,47.42,19.23,16.40,10203.82,444.56,7.1731
baseline,3149928,12,2.07,1.50,47.14,19.02,16.46,10673.70,469.43,9.3925
baseline,3149928,13,2.06,1.48,47.24,19.09,16.40,10383.04,452.69,7.9206
baseline,3149928,14,2.06,1.43,47.44,19.11,16.43,9818.69,425.62,7.1168
baseline,3149928,15,2.06,1.40,46.64,18.99,16.36,10244.53,451.95,7.4424
baseline,3149928,16,2.06,1.46,47.42,19.14,16.47,10234.34,445.01,7.1168
baseline,3149928,17,2.06,1.48,46.98,18.91,16.33,10380.82,454.71,7.7763
baseline,3149928,18,2.09,1.25,47.70,19.27,16.38,10512.26,460.84,8.2798
baseline,3149928,19,2.06,1.40,47.35,19.29,16.44,10587.90,460.21,7.2194
baseline,3149928,20,2.06,1.53,47.73,19.33,16.35,10487.98,451.70,7.4314
k1_always,3149929,1,3.90,1.43,55.39,28.79,16.98,5422.63,381.59,9.1243
k1_always,3149929,2,1.78,1.46,51.83,19.95,16.85,12112.61,416.77,6.9859
k1_always,3149929,3,1.93,1.39,47.63,19.41,16.69,11298.75,458.87,7.7311
k1_always,3149929,4,2.07,1.45,48.29,19.83,16.68,10815.43,464.07,8.1806
k1_always,3149929,5,1.46,1.49,45.19,19.36,16.55,14864.62,478.67,7.1935
k1_always,3149929,6,1.79,1.42,47.40,19.21,16.61,11379.03,430.35,7.4244
k1_always,3149929,7,1.48,1.51,47.47,19.40,16.63,14357.85,448.82,7.2048
k1_always,3149929,8,1.95,1.41,47.73,19.68,16.79,15368.08,629.00,8.3371
k1_always,3149929,9,1.67,1.40,46.40,19.19,16.57,12497.14,450.53,7.6321
k1_always,3149929,10,2.01,1.21,47.37,19.28,16.66,10189.31,432.55,8.1294
k1_always,3149929,11,1.54,1.41,46.90,19.28,16.66,13655.15,449.44,7.1834
k1_always,3149929,12,1.85,1.60,47.59,19.31,16.63,11954.11,464.95,9.4075
k1_always,3149929,13,1.77,3.91,49.28,18.88,16.65,12091.07,433.89,7.9751
k1_always,3149929,14,1.56,1.35,47.05,19.50,16.53,12974.22,429.17,7.1518
k1_always,3149929,15,1.48,1.38,46.65,19.42,16.66,14234.23,451.89,7.4280
k1_always,3149929,16,1.48,1.43,46.06,19.30,16.54,14257.92,458.22,6.9949
k1_always,3149929,17,1.86,1.49,47.03,18.98,16.58,11464.10,454.15,7.7819
k1_always,3149929,18,1.83,1.72,47.35,19.21,16.67,11990.11,464.27,8.2278
k1_always,3149929,19,1.45,0.56,45.40,19.26,16.60,14997.20,480.03,7.2926
k1_always,3149929,20,1.50,1.48,46.77,19.18,16.68,14386.37,460.95,7.4584
