job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,1,50,completed_step,0.0,False,False,,0.0011,0.0,47.58,25.55,9.74,6.96,4.17,50.11,93.3,244.82,342.47,1024.0,30.8,29.18,28.1,2.545,2.464,2.41,29.405,102.61,2808.0,9570.0,2,5,0,,3271789-logs/ray-driver.log,0.6528,0.3706,0.21200000000000002,0.13399999999999998,0.0902,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,2,50,completed_step,0.0,False,False,,0.0007,0.0,29.62,13.93,1.89,2.54,9.41,77.85,165.57,1221.71,907.83,1024.0,40.3,48.849999999999994,57.4,3.015,3.4425,3.87,23.09,56.875,4403.0,8970.0,2,4,0,,3271789-logs/ray-driver.log,0.7582499999999999,0.5775000000000001,0.45025000000000004,0.3725,0.286,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,3,50,completed_step,0.0,False,False,,0.0008,0.0,34.2,16.14,0.69,2.09,13.35,70.53,149.44,3491.17,1153.39,1024.0,60.925,55.59090909090909,56.8,4.047499999999999,3.7809090909090908,3.84,96.61,178.03,12587.0,23580.0,4,11,0,,3271789-logs/ray-driver.log,0.7948181818181816,0.6400909090909092,0.5262727272727273,0.436,0.38272727272727275,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,4,50,completed_step,0.0,False,False,,0.0006,0.0,32.4,16.65,1.15,2.07,10.62,72.1,140.29,2030.32,1129.96,1024.0,59.1,59.824999999999996,54.8,3.9533333333333336,3.9887500000000005,3.74,92.92333333333335,156.73666666666665,9842.0,16420.0,3,8,0,,3271789-logs/ray-driver.log,0.8225,0.6785,0.56875,0.48850000000000005,0.432375,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,5,50,completed_step,0.0,False,False,,0.0008,0.0,35.44,20.07,1.12,2.06,10.27,67.81,119.76,2152.56,1165.52,1024.0,45.76666666666667,46.625,41.2,3.2900000000000005,3.33375,3.06,72.59333333333333,157.37,7710.0,16460.0,3,8,0,,3271789-logs/ray-driver.log,0.746,0.569875,0.42237499999999994,0.32675,0.26637500000000003,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,6,50,completed_step,0.0,False,False,,0.0005,0.0,28.45,12.93,1.15,2.09,10.42,83.56,183.81,2072.8,1135.87,1024.0,66.9,65.64,64.8,4.345000000000001,4.282,4.24,80.555,123.74000000000001,6295.0,9685.0,2,5,0,,3271789-logs/ray-driver.log,0.8832000000000001,0.738,0.6355999999999999,0.5516,0.4742,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,7,50,completed_step,0.0,False,False,,0.0005,0.0,29.34,13.82,1.1,2.08,10.52,83.51,177.29,2234.81,1177.61,1024.0,70.66666666666667,69.2,69.2,4.533333333333333,4.46,4.46,104.89999999999999,153.87,10988.0,16090.0,3,8,0,,3271789-logs/ray-driver.log,0.8831249999999999,0.775375,0.66125,0.59425,0.545625,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,8,50,completed_step,0.0,False,False,,0.0009,0.0,37.41,22.23,1.11,2.09,10.17,64.13,107.92,2162.01,1148.93,1024.0,36.75,35.858333333333334,24.2,2.84,2.795833333333333,2.21,67.275,171.84,9198.0,25160.0,4,12,0,,3271789-logs/ray-driver.log,0.6660833333333332,0.42275,0.2981666666666667,0.23174999999999998,0.17558333333333334,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,9,50,completed_step,0.0,False,False,,0.0006,0.0,29.93,14.6,1.18,2.08,10.26,77.01,157.83,1952.23,1109.2,1024.0,51.599999999999994,57.17999999999999,60.9,3.585,3.864,4.05,80.99,139.09,6270.0,10630.0,2,5,0,,3271789-logs/ray-driver.log,0.8023999999999999,0.6544,0.5516,0.4566,0.3952,,,,
3271789,qwen8_initialrefit_static_equiv_longosl1024_step50_retry1,10,50,completed_step,0.0,False,False,,0.0006,0.0,31.09,15.8,1.07,2.11,10.32,78.7,154.91,2296.06,1158.08,1024.0,53.0,53.88888888888889,44.1,3.6525,3.6955555555555555,3.21,91.965,178.5025,10100.0,18890.0,4,9,0,,3271789-logs/ray-driver.log,0.7922222222222222,0.6376666666666666,0.5147777777777778,0.40922222222222226,0.3416666666666666,,,,
