job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,1,20,completed_step,0.0,False,False,,0.0011,0.0,45.73,24.69,8.89,6.97,3.95,52.13,96.55,268.12,341.88,1024.0,28.8,28.65,28.5,2.44,2.4299999999999997,2.42,4.3149999999999995,14.98,2582.0,9020.0,2,4,0,,3270833-logs/ray-driver.log,0.614,0.36775,0.22125,0.14325000000000002,0.08449999999999999,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,2,20,completed_step,0.0,False,False,,0.0007,0.0,28.71,13.93,1.66,2.49,8.71,80.32,165.55,1387.85,926.84,1024.0,39.45,48.959999999999994,55.3,2.975,3.4520000000000004,3.77,70.815,145.37,5644.0,11490.0,2,5,0,,3270833-logs/ray-driver.log,0.7706,0.5826,0.4606,0.3552,0.28040000000000004,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,3,20,completed_step,0.0,False,False,,0.0008,0.0,32.5,16.38,1.05,2.15,11.09,74.22,147.29,2304.88,1122.45,1024.0,60.650000000000006,55.26363636363637,56.7,4.03,3.76,3.83,95.785,178.72,12509.0,23710.0,4,11,0,,3270833-logs/ray-driver.log,0.8079090909090909,0.6356363636363637,0.5107272727272728,0.431,0.37554545454545457,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,4,20,completed_step,0.0,False,False,,0.0006,0.0,32.43,16.31,1.05,2.12,11.16,72.03,143.26,2228.82,1100.74,1024.0,56.0,52.1625,63.9,3.8000000000000003,3.6075,4.2,82.40666666666668,157.90333333333334,8373.0,16580.0,3,8,0,,3270833-logs/ray-driver.log,0.77425,0.6158750000000001,0.4905,0.39937500000000004,0.32775,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,5,20,completed_step,0.0,False,False,,0.0008,0.0,36.03,20.62,1.06,2.11,10.53,66.69,116.56,2262.29,1136.87,1024.0,44.800000000000004,46.1625,40.8,3.24,3.31,3.04,73.08333333333333,159.47,7757.0,16650.0,3,8,0,,3270833-logs/ray-driver.log,0.74375,0.567,0.4145,0.32175,0.261375,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,6,20,completed_step,0.0,False,False,,0.0005,0.0,28.51,13.07,1.04,2.11,10.41,83.39,181.9,2292.32,1124.0,1024.0,68.0,67.4,67.0,4.4,4.369999999999999,4.35,82.405,122.655,6435.0,9585.0,2,5,0,,3270833-logs/ray-driver.log,0.8704000000000001,0.7604,0.6532,0.5771999999999999,0.511,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,7,20,completed_step,0.0,False,False,,0.0005,0.0,29.43,13.9,1.08,2.21,10.4,83.25,176.31,2274.9,1107.13,1024.0,65.3,66.2,69.1,4.263333333333333,4.3075,4.45,103.62,156.90333333333334,10904.0,16405.0,3,8,0,,3270833-logs/ray-driver.log,0.87625,0.7494999999999999,0.6348750000000001,0.550625,0.49812500000000004,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,8,20,completed_step,0.0,False,False,,0.0009,0.0,37.47,21.66,1.07,2.18,10.66,64.02,110.77,2249.47,1102.38,1024.0,37.775,38.518181818181816,30.6,2.8899999999999997,2.9263636363636363,2.53,71.5275,174.5075,9194.0,23340.0,4,11,0,,3270833-logs/ray-driver.log,0.7018181818181819,0.46981818181818186,0.325,0.24136363636363634,0.18736363636363637,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,9,20,completed_step,0.0,False,False,,0.0006,0.0,29.2,13.82,1.05,2.13,10.26,78.93,166.83,2197.9,1081.82,1024.0,50.65,56.8,60.9,3.535,3.844,4.05,80.095,138.065,6228.0,10580.0,2,5,0,,3270833-logs/ray-driver.log,0.8009999999999999,0.6506,0.5476,0.4516,0.3896,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,10,20,completed_step,0.0,False,False,,0.0006,0.0,32.21,16.72,1.06,2.14,10.44,75.97,146.33,2316.17,1144.81,1024.0,52.9,51.18888888888889,51.7,3.645,3.558888888888889,3.58,91.5425,177.4425,9516.0,18780.0,4,9,0,,3270833-logs/ray-driver.log,0.7771111111111111,0.6134444444444445,0.48477777777777775,0.3766666666666667,0.3074444444444444,,,,
3270833,qwen8_pard2_initialrefit_static_equiv_longosl1024_step20_retry1,11,20,completed_step,0.0,False,False,,0.0008,0.0,34.41,19.46,1.02,2.11,10.01,67.85,120.0,2283.52,1106.36,1024.0,48.333333333333336,38.587500000000006,33.1,3.4166666666666665,2.92875,2.66,67.86,176.28333333333333,6973.0,18360.0,3,8,0,,3270833-logs/ray-driver.log,0.72625,0.4565,0.314875,0.23175,0.199625,,,,
