checked_at_local,host,host_source,ssh_config_state,configured_hostname,configured_user,configured_port,proxyjump,proxycommand_present,controlpath,dns_state,dns_addresses,controlmaster_state,controlmaster_detail,connect_state,remote_hostname,remote_user,remote_squeue_state,remote_squeue_path,connect_detail
2026-06-17T11:45:33-07:00,cw-dfw-cs-001-vscode-01,ssh_config,ok,cw-dfw-cs-001-vscode-01,sna,22,,,/Users/sna/.ssh/ssh-sna@cw-dfw-cs-001-vscode-01:22,ok,10.65.34.167,no_controlmaster,Control socket connect(/Users/sna/.ssh/ssh-sna@cw-dfw-cs-001-vscode-01:22): No such file or directory,ok,cw-dfw-cs-001-vscode-01,sna,ok,/cm/shared/apps/slurm/current/bin/squeue,cw-dfw-cs-001-vscode-01; sna; __SPECDEC_SQUEUE_OK__
2026-06-17T11:45:33-07:00,cw-dfw-cs-001-vscode-02,ssh_config,ok,cw-dfw-cs-001-vscode-02,sna,22,,,/Users/sna/.ssh/ssh-sna@cw-dfw-cs-001-vscode-02:22,ok,10.65.34.165,no_controlmaster,Control socket connect(/Users/sna/.ssh/ssh-sna@cw-dfw-cs-001-vscode-02:22): No such file or directory,timeout,,,,,timed out after 9s
2026-06-17T11:45:33-07:00,cw-dfw-cs-001-vscode-02.nvidia.com,ssh_config,ok,cw-dfw-cs-001-vscode-02.nvidia.com,sna,22,,,/Users/sna/.ssh/ssh-sna@cw-dfw-cs-001-vscode-02.nvidia.com:22,ok,10.65.34.165,no_controlmaster,Control socket connect(/Users/sna/.ssh/ssh-sna@cw-dfw-cs-001-vscode-02.nvidia.com:22): No such file or directory,timeout,,,,,timed out after 9s
2026-06-17T11:45:33-07:00,login-lyris,cli,ok,login-lyris,sna-mfa,22,,,/Users/sna/.ssh/ssh-sna-mfa@login-lyris:22,ok,10.66.2.46,ok,Master running (pid=11578),ok,login-lyris02.lyris.clusters.nvidia.com,sna,ok,/usr/bin/squeue,login-lyris02.lyris.clusters.nvidia.com; sna; __SPECDEC_SQUEUE_OK__
2026-06-17T11:45:33-07:00,login-lyris.nvidia.com,candidate,ok,login-lyris.nvidia.com,sna,22,,,,ok,10.66.2.46,failed,"No ControlPath specified for ""-O"" command",failed_auth_or_mfa,,,,,################################################################################
2026-06-17T11:45:33-07:00,login-lyris01,candidate,ok,login-lyris01,sna,22,,,,ok,10.66.2.12,failed,"No ControlPath specified for ""-O"" command",failed_auth_or_mfa,,,,,################################################################################
2026-06-17T11:45:33-07:00,login-lyris02,candidate,ok,login-lyris02,sna,22,,,,ok,10.66.2.13,failed,"No ControlPath specified for ""-O"" command",failed,,,,,Host key verification failed.
2026-06-17T11:45:33-07:00,lyris,candidate,ok,lyris,sna,22,,,,failed_dns,"[Errno 8] nodename nor servname provided, or not known",failed,"No ControlPath specified for ""-O"" command",failed_dns,,,,,"ssh: Could not resolve hostname lyris: nodename nor servname provided, or not known"
2026-06-17T11:45:33-07:00,lyris.nvidia.com,candidate,ok,lyris.nvidia.com,sna,22,,,,failed_dns,"[Errno 8] nodename nor servname provided, or not known",failed,"No ControlPath specified for ""-O"" command",failed_dns,,,,,"ssh: Could not resolve hostname lyris.nvidia.com: nodename nor servname provided, or not known"
2026-06-17T11:45:33-07:00,oci-hsg-cs-001-vscode-01,ssh_config,ok,oci-hsg-cs-001-vscode-01,sna,22,,,/Users/sna/.ssh/ssh-sna@oci-hsg-cs-001-vscode-01:22,ok,10.109.19.190,ok,Master running (pid=5935),ok,oci-hsg-cs-001-vscode-01,sna,ok,/cm/local/apps/slurm/current/bin/squeue,oci-hsg-cs-001-vscode-01; sna; __SPECDEC_SQUEUE_OK__
2026-06-17T11:45:33-07:00,oci-hsg-cs-001-vscode-02,ssh_config,ok,oci-hsg-cs-001-vscode-02,sna,22,,,/Users/sna/.ssh/ssh-sna@oci-hsg-cs-001-vscode-02:22,ok,10.109.31.222,no_controlmaster,Control socket connect(/Users/sna/.ssh/ssh-sna@oci-hsg-cs-001-vscode-02:22): No such file or directory,timeout,,,,,timed out after 9s
2026-06-17T11:45:33-07:00,oci-hsg-cs-001-vscode-02.nvidia.com,candidate,ok,oci-hsg-cs-001-vscode-02.nvidia.com,sna,22,,,,ok,10.109.31.222,failed,"No ControlPath specified for ""-O"" command",ok,oci-hsg-cs-001-vscode-02,sna,ok,/cm/local/apps/slurm/current/bin/squeue,oci-hsg-cs-001-vscode-02; sna; __SPECDEC_SQUEUE_OK__
2026-06-17T11:45:33-07:00,oci-hsg-cs-001-vscode-03,ssh_config,ok,oci-hsg-cs-001-vscode-03,sna,22,,,/Users/sna/.ssh/ssh-sna@oci-hsg-cs-001-vscode-03:22,ok,10.109.26.53,no_controlmaster,Control socket connect(/Users/sna/.ssh/ssh-sna@oci-hsg-cs-001-vscode-03:22): No such file or directory,ok,oci-hsg-cs-001-vscode-03,sna,ok,/cm/local/apps/slurm/current/bin/squeue,oci-hsg-cs-001-vscode-03; sna; __SPECDEC_SQUEUE_OK__
2026-06-17T11:45:33-07:00,oci-nrt-cs-001-login-03,ssh_config,ok,oci-nrt-cs-001-login-03,sna,22,,,/Users/sna/.ssh/ssh-sna@oci-nrt-cs-001-login-03:22,ok,10.49.199.134,no_controlmaster,Control socket connect(/Users/sna/.ssh/ssh-sna@oci-nrt-cs-001-login-03:22): No such file or directory,ok,oci-nrt-cs-001-login-03,sna,ok,/cm/shared/apps/slurm/current/bin/squeue,oci-nrt-cs-001-login-03; sna; __SPECDEC_SQUEUE_OK__
