dataset,model,prompt_count_loaded,prompt_count_used,isl,osl,tp,batch_size,baseline_tok_s_gpu,pard_tok_s_gpu,pard_speedup,pard_acceptance_pct,pard_mean_accept_len,suffix_tok_s_gpu,suffix_speedup,suffix_acceptance_pct,suffix_mean_accept_len,pld_tok_s_gpu,pld_speedup,pld_acceptance_pct,pld_mean_accept_len,notes
SWE-Bench Lite n64,Qwen/Qwen3-30B-A3B,64,64,4096,1024,1,8,145.98712770856415,238.74701728241186,1.6353977301274494,31.658659525872253,2.5829329762936126,250.89979989151146,1.7186433066371833,28.701168261352223,1.7329301547018008,,,,,
SWE-Bench Lite n64,Qwen/Qwen3-30B-A3B,64,64,4096,1024,1,16,300.3006701009631,369.4606879598476,1.2303025758671549,31.947733122154027,2.5973866561077017,529.2359310978538,1.7623534803299679,36.09454295477062,2.213967563156642,,,,,
SWE-Bench Verified all n500,Qwen/Qwen3-30B-A3B,500,496,4096,1024,1,8,133.26186936537775,240.96898688860557,1.8082365798720426,34.998539134951464,2.749926956747573,229.9453440530682,1.7255149214709231,26.144001569098563,1.7367510147681147,168.24195996908597,1.2624913695889985,35.227429716101405,2.7606645808609342,
SWE-Bench Verified all n500,Qwen/Qwen3-30B-A3B,500,496,4096,1024,1,16,267.6709859571117,460.0008000450793,1.7185306745154072,35.056058062070086,2.7528029031035044,490.93403923719774,1.8340950831176708,31.192764115711768,2.122403172516028,341.5889491558464,1.2761523178704859,35.33109588564671,2.765549303730095,
SWE-Bench Full test slice n256,Qwen/Qwen3-30B-A3B,256,256,4096,1024,1,8,136.44911781244,246.28079542179555,1.8049277222907942,34.86804531333354,2.743402265666677,228.66569287623338,1.6758312295617206,27.17678878780428,1.7466140679145359,167.98744182738372,1.231136151853291,35.93501999184714,2.796003294464433,
SWE-Bench Full test slice n256,Qwen/Qwen3-30B-A3B,256,256,4096,1024,1,16,288.49285355155416,475.5040386015011,1.6482350697693375,34.78020256865407,2.739010128432703,433.13628911890595,1.5013761477509313,31.922066893429268,2.1234802524181955,317.3234064303976,1.0999350677977586,35.05795847750865,2.752670501232539,
SWE-Bench Verified Qwen32 pilot n64,Qwen/Qwen3-32B,64,64,4096,1024,2,8,68.94430218883015,,,,,99.43460176896524,1.442245386669167,25.861975348862465,1.5968821273716132,76.50419010937993,1.1096521058381903,31.69818833366514,2.584909416683257,
SWE-Bench Verified Qwen32 pilot n64,Qwen/Qwen3-32B,64,64,4096,1024,2,16,140.9250990531595,,,,,222.65761848778726,1.579971346366035,33.591710099220776,2.0204678362573096,149.03646637882412,1.0575580033660636,31.801448759054747,2.5899465663962005,
SWE-Bench Verified long OSL n8,Qwen/Qwen3-30B-A3B,8,8,4096,16384,1,1,16.82013924489804,56.591541758689715,3.364510895821229,60.47275518035303,4.023637759017651,121.68011156426323,7.234191690842975,73.72547149892044,5.906531888853633,62.08838427090969,3.69131214473998,71.82362715925339,4.59118135796267,
SWE-Bench Verified long OSL n8,Qwen/Qwen3-30B-A3B,8,8,4096,16384,1,2,33.003458468006464,105.35067189066451,3.1921100630344967,56.58107673881927,3.8290538369409632,273.27261726409813,8.28012062823684,83.06910643938,7.2666370403288525,90.38472652807701,2.7386440913668464,60.04411381913334,4.002020617144423,
SWE-Bench Verified smoke n1,Qwen/Qwen3-30B-A3B,1,1,4096,128,1,1,,,,,,30.872219610718812,,55.00000000000001,2.4347826086956523,,,,,baseline missing/not completed for this exact batch size
