domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,state,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,basis,source,source_label,source_priority,logs_dir,valid_result
Math,Qwen3-235B-A22B,0.0,1.0,1,4096.0,32768.0,eagle3_k8,3459865.0,COMPLETED,4.8884,1.9126832781443956,2.5557812189075646,24.4342,1.9547,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,True
Math,Qwen3-235B-A22B,0.0,1.0,2,4096.0,32768.0,eagle3_k8,3459881.0,COMPLETED,9.7277,3.877196759719886,2.5089518543554115,24.2877,1.943,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,True
Math,Qwen3-235B-A22B,0.0,1.0,4,4096.0,32768.0,eagle3_k8,3459888.0,COMPLETED,18.6912,7.857254328451147,2.3788462506958816,26.5009,2.1201,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,True
Math,Qwen3-235B-A22B,0.0,1.0,8,4096.0,32768.0,eagle3_k8,3459894.0,COMPLETED,34.1986,15.52013014261271,2.203499563840829,25.1446,2.0116,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,True
Math,Qwen3-235B-A22B,0.0,1.0,16,4096.0,32768.0,eagle3_k8,3459908.0,COMPLETED,57.5647,23.52299106160737,2.4471675327868145,25.2184,2.0175,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,True
Math,Qwen3-235B-A22B,0.0,1.0,32,4096.0,32768.0,eagle3_k8,3459921.0,COMPLETED,97.6797,60.842495081365485,1.6054519110265222,24.374,1.9499,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8,True
Math,Qwen3-235B-A22B,0.0,1.0,1,4096.0,32768.0,pard2_k11,3457300.0,COMPLETED,1.6206,1.9126832781443956,0.8472913516409458,0.1722,0.0189,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k11_20260620_qmath_pard2_ksweep_qwen235b_k11,True
Math,Qwen3-235B-A22B,0.0,1.0,2,4096.0,32768.0,pard2_k11,3457301.0,COMPLETED,3.2491,3.877196759719886,0.8380023510168042,0.251,0.0276,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k11_20260620_qmath_pard2_ksweep_qwen235b_k11,True
Math,Qwen3-235B-A22B,0.0,1.0,4,4096.0,32768.0,pard2_k11,3457305.0,COMPLETED,6.2033,7.857254328451147,0.789499708255316,0.1522,0.0167,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k11_20260620_qmath_pard2_ksweep_qwen235b_k11,True
Math,Qwen3-235B-A22B,0.0,1.0,8,4096.0,32768.0,pard2_k11,3457306.0,COMPLETED,12.555,15.52013014261271,0.8089494021399005,0.3974,0.0437,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k11_20260620_qmath_pard2_ksweep_qwen235b_k11,True
