domain,temperature,model,method,batch_1_speedup,batch_2_speedup,batch_4_speedup,batch_8_speedup,batch_16_speedup,batch_32_speedup,batch_1_basis,batch_2_basis,batch_4_basis,batch_8_basis,batch_16_basis,batch_32_basis
Math,0.0,Qwen3-235B-A22B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep
Math,0.0,Qwen3-235B-A22B,suffix_k32,8.002971921960336,7.4079774812714305,6.570692794925545,3.935830155504207,5.163246795438189,2.286047874475903,reference vs 6/19 baseline; cross-run,reference vs 6/19 baseline; cross-run,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep
Math,0.0,Qwen3-235B-A22B,eagle3_k3,2.9650887721491896,2.8224701615876535,2.0250496372393894,2.2132278580090015,2.7819111234335727,1.8007453580275976,reference vs 6/19 baseline; cross-run,reference vs 6/19 baseline; cross-run,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep
Math,0.0,Qwen3-235B-A22B,pard_k5,2.5000429994778814,2.6836378524867275,2.2833411416525076,2.3495266816074136,2.5209385934358464,1.7362050480759412,reference vs 6/19 baseline; cross-run,reference vs 6/19 baseline; cross-run,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep
Math,0.0,Qwen3-235B-A22B,pard2_k1,0.8377077561966861,,0.6340815409570196,0.8250107837112598,1.0661453731068105,0.805594239770545,reference vs 6/19 baseline; cross-run,,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep
Math,0.0,Qwen3-32B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
Math,0.0,Qwen3-32B,suffix_k32,10.972218925156856,6.796977664582366,5.373352759854858,4.791347078634601,2.1137028450455815,4.91029279998415,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
Math,0.0,Qwen3-32B,eagle3_k3,3.199889957128698,2.3420409956949686,2.4945150583701907,2.4982441094784362,1.430098441160013,2.7098909949284113,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
Math,0.0,Qwen3-32B,pard_k5,2.7056340516877286,1.705731133151179,1.1376679098116078,1.5094209579854958,1.4623388815911547,1.2907784621780882,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
Math,1.0,Qwen3-235B-A22B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep,matched 6/17 qmath sweep
