domain,temperature,model,dataset,method,source_group,rows,batches,isl,osl,total_gpus,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len
Math,0.0,Qwen3-235B-A22B,MATH-500,baseline,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,26.93571765350918,1.0,,
Math,0.0,Qwen3-235B-A22B,MATH-500,eagle3_k3,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,56.315406374595796,2.2052334941773903,60.567682797406164,2.817030483922185
Math,0.0,Qwen3-235B-A22B,MATH-500,pard2_k1,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,22.96992657932862,0.8327079843864087,4.539960640078016,1.0453996064007802
Math,0.0,Qwen3-235B-A22B,MATH-500,pard_k5,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,54.83520375968066,2.222502866192927,52.95664793450376,3.647832396725188
Math,0.0,Qwen3-235B-A22B,MATH-500,suffix_k32,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,93.31401635325699,4.488954405085961,83.69436458270918,7.443941773356167
Math,0.0,Qwen3-30B-A3B,MATH-500,baseline,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,244.4868328456129,1.0,,
Math,0.0,Qwen3-30B-A3B,MATH-500,eagle3_k3,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,254.2260356735894,1.043752083804975,9.295982291307318,1.2788794687392195
Math,0.0,Qwen3-30B-A3B,MATH-500,pard_k5,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,269.17722911631546,1.2659936204136248,45.01927786997247,3.250963893498623
Math,0.0,Qwen3-30B-A3B,MATH-500,suffix_k32,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,962.9769082928858,4.816949691814787,85.94961135512634,8.272575203260468
Math,0.0,Qwen3-8B,MATH-500,baseline,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,430.19116699663607,1.0,,
Math,0.0,Qwen3-8B,MATH-500,eagle3_k3,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,683.991674396757,1.4846048556864553,70.67484163767404,3.1202452491302215
Math,0.0,Qwen3-8B,MATH-500,pard2_k5,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,163.86403270870392,0.3896682688140606,0.14587929256706197,1.0072939646283532
Math,0.0,Qwen3-8B,MATH-500,pard_k5,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,407.6452941454342,0.978346557237787,47.77367908001327,3.3886839540006632
Math,0.0,Qwen3-8B,MATH-500,suffix_k32,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,1371.5207946635132,3.6456395868206286,85.60754514318953,8.387107527475548
Math,1.0,Qwen3-235B-A22B,MATH-500,baseline,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,27.99205069541574,1.0,,
Math,1.0,Qwen3-235B-A22B,MATH-500,eagle3_k3,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,42.986719888499394,1.7054600187850575,47.402299674307585,2.422068990229228
Math,1.0,Qwen3-235B-A22B,MATH-500,pard2_k1,oci_qmath_bsweep_20260617,4,4/8/16/32,4096,32768,4,23.501875901253385,0.8750439198397523,1.9219824075654248,1.0192198240756543
