domain,model,temperature,method,k,method_detail,dataset_tag,batch_size,isl,osl,evidence_state,source_kind,source_file,clean_status_match,row_count,label_or_job_examples
Math,Qwen/Qwen3-235B-A22B,,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,,baseline,,baseline,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_baseline,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,,baseline,,baseline,math500,1,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113223
Math,Qwen/Qwen3-235B-A22B,,baseline,0,baseline,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_k0_20260613_oci_math,1,4096,32768,partial,metrics,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,,baseline,,baseline,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_baseline,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,,baseline,,baseline,math500,2,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113223
Math,Qwen/Qwen3-235B-A22B,,eagle3,11,eagle3_k11,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k11_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k11
Math,Qwen/Qwen3-235B-A22B,,eagle3,11,eagle3_k11,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_eagle3_k11,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k11_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k11
Math,Qwen/Qwen3-235B-A22B,,eagle3,11,eagle3_k11,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k11_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k11
