domain,temperature,model,method,b1_speedup,b2_speedup,b4_speedup,b8_speedup,b16_speedup,b32_speedup
Math,0.0,Qwen3-235B-A22B,baseline,1.0,1.0,,,,
Math,0.0,Qwen3-32B,baseline,1.0,1.0,1.0,1.0,1.0,1.0
Math,0.0,Qwen3-32B,suffix_k32,10.972218925156856,6.796977664582366,5.373352759854858,4.791347078634601,2.1137028450455815,4.91029279998415
Math,0.0,Qwen3-32B,eagle3_k3,3.199889957128698,2.3420409956949686,2.4945150583701907,2.4982441094784362,1.430098441160013,2.7098909949284113
Math,0.0,Qwen3-32B,pard_k5,2.7056340516877286,1.705731133151179,1.1376679098116078,1.5094209579854958,1.4623388815911547,1.2907784621780882
Math,1.0,Qwen3-235B-A22B,baseline,1.0,1.0,,,,
Math,1.0,Qwen3-32B,baseline,1.0,1.0,1.0,1.0,1.0,1.0
Math,1.0,Qwen3-32B,suffix_k32,1.5097624330916408,1.6138229954841086,1.2154202673789625,3.112284973246774,0.8021675731846221,1.1420395446135179
Math,1.0,Qwen3-32B,eagle3_k3,1.93995121464694,1.1436362394045931,2.3481806371132925,1.221897863231383,1.022840641831157,1.1532203641631127
Math,1.0,Qwen3-32B,pard_k5,2.5011605185422394,1.1906478509678982,1.3307409937651127,0.7356084043811164,0.5929567276757234,0.7270115158636475
SWE,0.0,Qwen3-235B-A22B,baseline,,,1.0,1.0,1.0,1.0
SWE,0.0,Qwen3-235B-A22B,suffix_k32,,,6.07816116180665,3.9807394696763425,3.8363593383683705,2.6332494651909557
SWE,0.0,Qwen3-235B-A22B,eagle3_k3,,,2.311103424042253,1.9994044914754503,1.879147646279391,1.9426352715702266
SWE,0.0,Qwen3-30B-A3B,baseline,,,1.0,1.0,1.0,1.0
SWE,0.0,Qwen3-30B-A3B,suffix_k32,,,5.074882207311193,6.46073854561584,5.772202239648547,1.5506010593383
SWE,0.0,Qwen3-30B-A3B,eagle3_k3,,,1.0582492521483768,1.0671269036732103,1.0118878062409395,0.8841311682888733
SWE,0.0,Qwen3-32B,baseline,,,1.0,1.0,1.0,1.0
SWE,0.0,Qwen3-32B,suffix_k32,,,6.548114708089441,3.7305306162059715,3.273353729326889,3.643778483906329
SWE,0.0,Qwen3-32B,eagle3_k3,,,2.180104277306245,2.1033589032316233,2.025446936829832,1.8442626896016099
SWE,1.0,Qwen3-235B-A22B,baseline,,,1.0,1.0,1.0,1.0
SWE,1.0,Qwen3-235B-A22B,suffix_k32,,,1.9698948543369932,1.693893396827697,1.364374513300756,1.3896809146720128
SWE,1.0,Qwen3-235B-A22B,eagle3_k3,,,1.341648113640337,1.2921106719593534,1.198261061580185,1.1734329168895086
SWE,1.0,Qwen3-30B-A3B,baseline,,,1.0,1.0,1.0,1.0
SWE,1.0,Qwen3-30B-A3B,suffix_k32,,,7.299554128832293,3.6148213366011475,3.058830543381312,1.2244773512586324
SWE,1.0,Qwen3-30B-A3B,eagle3_k3,,,1.0566705448383789,1.0413839075436224,0.9306906028911724,0.9662912549501921
SWE,1.0,Qwen3-32B,baseline,,,1.0,1.0,1.0,1.0
SWE,1.0,Qwen3-32B,suffix_k32,,,1.355309832117561,0.9760370955509134,1.1713403710173018,1.2555806518969759
SWE,1.0,Qwen3-32B,eagle3_k3,,,1.6570715449276943,1.2053051341257086,1.4367067523220436,1.265237779231414
