domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,source
Math,Qwen3-235B-A22B,0.0,,1,4096,32768,baseline,3423796,1.9126832781443956,1.9126832781443956,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-235B-A22B,0.0,,2,4096,32768,baseline,3423797,3.877196759719886,3.877196759719886,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,1,4096,32768,baseline,3423798,6.544053992206331,6.544053992206331,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,1,4096,32768,suffix_k32,3423799,71.80279306053458,6.544053992206331,10.972218925156856,95.80022701475596,10.401654996817314,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,1,4096,32768,eagle3_k3,3423802,20.940252648569,6.544053992206331,3.199889957128698,78.79752249940115,3.3639256749820348,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,1,4096,32768,pard_k5,3423800,17.70581531739647,6.544053992206331,2.7056340516877286,56.08730988041333,3.8043654940206664,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,2,4096,32768,baseline,3423803,15.301252337778818,15.301252337778818,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,2,4096,32768,suffix_k32,3423805,104.00227038002134,15.301252337778818,6.796977664582366,91.40066585669881,8.7995152820789,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,2,4096,32768,eagle3_k3,3423817,35.836160260551466,15.301252337778818,2.3420409956949686,74.07644147244895,3.222293244173468,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,2,4096,32768,pard_k5,3423816,26.09982248875159,15.301252337778818,1.705731133151179,51.233695652173914,3.5616847826086957,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,4,4096,32768,baseline,3423667,32.20199981404923,32.20199981404923,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,4,4096,32768,suffix_k32,3423670,173.03270457366705,32.20199981404923,5.373352759854858,88.99035517452542,8.954091406677612,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,4,4096,32768,eagle3_k3,3423676,80.32837344577989,32.20199981404923,2.4945150583701907,84.48159633274909,3.5344478899824727,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,4,4096,32768,pard_k5,3423674,36.63518182020317,32.20199981404923,1.1376679098116078,48.53490196078432,3.426745098039216,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,8,4096,32768,baseline,3423677,62.39320631259151,62.39320631259151,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,8,4096,32768,suffix_k32,3423678,298.9475067924813,62.39320631259151,4.791347078634601,88.00519222693086,8.357313842520188,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,8,4096,32768,eagle3_k3,3423681,155.87346014190453,62.39320631259151,2.4982441094784362,82.07403885521086,3.4622211656563255,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,8,4096,32768,pard_k5,3423680,94.17761324413856,62.39320631259151,1.5094209579854958,56.724372576278626,3.8362186288139313,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,16,4096,32768,baseline,3423682,123.60896347553637,123.60896347553637,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,16,4096,32768,suffix_k32,3423683,261.2726177713766,123.60896347553637,2.1137028450455815,81.25393672174039,7.371759871661366,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,16,4096,32768,eagle3_k3,3423685,176.77298597976954,123.60896347553637,1.430098441160013,83.79892137281448,3.5139676411844345,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,16,4096,32768,pard_k5,3423684,180.75819340345774,123.60896347553637,1.4623388815911547,61.777642599784755,4.088882129989238,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,32,4096,32768,baseline,3423686,142.83327671519808,142.83327671519808,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,32,4096,32768,suffix_k32,3423713,701.3532102527809,142.83327671519808,4.91029279998415,80.83044822104824,7.360341885144009,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,32,4096,32768,eagle3_k3,3423715,387.0626103466332,142.83327671519808,2.7098909949284113,77.18666965997494,3.315600089799248,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,0.0,,32,4096,32768,pard_k5,3423714,184.3661172663007,142.83327671519808,1.2907784621780882,51.12540825428265,3.5562704127141322,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-235B-A22B,1.0,,1,4096,32768,baseline,3423819,1.9325440586386942,1.9325440586386942,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-235B-A22B,1.0,,2,4096,32768,baseline,3423821,3.9298626758296966,3.9298626758296966,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,baseline,3423823,7.326800295379499,7.326800295379499,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,suffix_k32,3423825,11.061727840728706,7.326800295379499,1.5097624330916408,29.169087739686226,1.6615055180365674,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,eagle3_k3,3423830,14.213635132497018,7.326800295379499,1.93995121464694,43.03293015451304,2.290987904635391,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,pard_k5,3423828,18.32550362604682,7.326800295379499,2.5011605185422394,58.46503831417624,3.9232519157088124,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
