domain,temperature,model,method,rows,batches,isl,osl,tp,total_gpus,baseline_tok_s_per_gpu,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len,source_group,source_file
Math,0.0,Qwen3-235B-A22B,eagle3_k3,4,4/8/16/32,4096,32768,,4,26.93571765350918,56.315406374595796,2.2052334941773903,60.567682797406164,2.817030483922185,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-235B-A22B,pard2_k1,4,4/8/16/32,4096,32768,,4,26.93571765350918,22.96992657932862,0.8327079843864087,4.539960640078016,1.0453996064007802,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-235B-A22B,pard_k5,4,4/8/16/32,4096,32768,,4,26.93571765350918,54.83520375968066,2.222502866192927,52.95664793450376,3.647832396725188,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-235B-A22B,suffix_k32,4,4/8/16/32,4096,32768,,4,26.93571765350918,93.31401635325699,4.488954405085961,83.69436458270918,7.443941773356167,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-30B-A3B,eagle3_k3,2,1/2,4096,32768,1.0,1,29.185249562014818,31.07621629510208,1.0750437999990954,10.168825145825785,1.3050647543747735,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,0.0,Qwen3-30B-A3B,eagle3_k3,4,4/8/16/32,4096,32768,,4,244.4868328456129,254.2260356735894,1.043752083804975,9.295982291307318,1.2788794687392195,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-30B-A3B,pard_k3,1,1,4096,32768,1.0,1,29.185249562014818,37.27226286533422,1.9237059506126568,70.67225290420872,3.1201675871262617,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,0.0,Qwen3-30B-A3B,pard_k5,1,1,4096,32768,1.0,1,29.185249562014818,42.534127057705525,2.1952826856972,52.15435853678677,3.6077179268393382,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,0.0,Qwen3-30B-A3B,pard_k5,4,4/8/16/32,4096,32768,,4,244.4868328456129,269.17722911631546,1.2659936204136248,45.01927786997247,3.250963893498623,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-30B-A3B,suffix_k32,2,1/2,4096,32768,1.0,1,29.185249562014818,206.2137001494698,7.147400108572916,88.59275227260844,8.403551549712132,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,0.0,Qwen3-30B-A3B,suffix_k32,4,4/8/16/32,4096,32768,,4,244.4868328456129,962.9769082928858,4.816949691814787,85.94961135512634,8.272575203260468,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,0.0,Qwen3-8B,eagle3_k3,2,1/2,4096,32768,1.0,1,55.78296271260291,94.82805221072883,1.765542882749265,63.277654361332026,2.8983296308399606,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,0.0,Qwen3-8B,eagle3_k3,4,4/8/16/32,4096,32768,,4,430.19116699663607,683.991674396757,1.4846048556864553,70.67484163767404,3.1202452491302215,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
