record_type,domain,temperature,model,method,result_scope,batches,rows,isl,osl,top_p,top_k,status,source,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len,evidence,submitted_retry_job_ids,retry_notes
result,Math,0.0,Qwen3-30B-A3B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,31.076,1.075,10.169,1.305,latest temp matrix primary aggregate,,
result,Math,0.0,Qwen3-30B-A3B,pard_k3,latest_core,batch1,1,4096,32768,1.0,-1,complete_partial_batch_coverage,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,37.272,1.924,70.672,3.120,latest temp matrix publicpard row only has batch1,,
result,Math,0.0,Qwen3-30B-A3B,pard_k5,latest_core,batch1,1,4096,32768,1.0,-1,complete_partial_batch_coverage,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,42.534,2.195,52.154,3.608,latest temp matrix publicpard row only has batch1,,
result,Math,0.0,Qwen3-30B-A3B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,206.214,7.147,88.593,8.404,latest temp matrix primary aggregate,,
result,Math,0.0,Qwen3-8B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,94.828,1.766,63.278,2.898,latest temp matrix primary aggregate,,
result,Math,0.0,Qwen3-8B,pard_k3,latest_core,batch1,1,4096,32768,1.0,-1,complete_partial_batch_coverage,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,38.190,1.027,50.694,2.521,latest temp matrix publicpard row only has batch1,,
result,Math,0.0,Qwen3-8B,pard_k5,latest_core,batch1,1,4096,32768,1.0,-1,complete_partial_batch_coverage,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,40.446,1.087,34.521,2.726,latest temp matrix publicpard row only has batch1,,
result,Math,0.0,Qwen3-8B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,312.852,5.660,85.947,8.093,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-30B-A3B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,32.481,1.122,10.700,1.321,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-30B-A3B,pard_k3,latest_core,batch1,1,4096,32768,1.0,-1,complete_partial_batch_coverage,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,36.299,1.875,63.654,2.910,latest temp matrix publicpard row only has batch1,,
result,Math,1.0,Qwen3-30B-A3B,pard_k5,latest_core,batch1,1,4096,32768,1.0,-1,complete_partial_batch_coverage,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,36.922,1.907,41.090,3.055,latest temp matrix publicpard row only has batch1,,
result,Math,1.0,Qwen3-30B-A3B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,162.809,6.061,83.850,7.162,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-8B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,99.615,1.930,68.608,3.058,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-8B,pard2_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,36.525,0.697,25.299,1.759,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-8B,pard2_k5,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,31.047,0.617,12.358,1.618,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-8B,pard_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,69.748,1.291,70.685,3.121,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-8B,pard_k5,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,57.467,1.054,33.393,2.670,latest temp matrix primary aggregate,,
result,Math,1.0,Qwen3-8B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv,272.290,5.322,80.594,6.706,latest temp matrix primary aggregate,,
result,SWE,0.0,Qwen3-235B-A22B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,6.899,2.326,54.579,2.637,initial lustre row failed but home retry produced metrics,,
result,SWE,0.0,Qwen3-235B-A22B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,17.264,5.643,79.189,6.264,initial lustre row failed but home retry produced metrics,,
result,SWE,0.0,Qwen3-30B-A3B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,32.956,1.112,12.310,1.369,initial lustre row failed but home retry produced metrics,,
result,SWE,0.0,Qwen3-30B-A3B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,243.290,8.348,92.271,9.945,initial lustre row failed but home retry produced metrics,,
result,SWE,0.0,Qwen3-32B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,29.340,2.380,69.096,3.073,initial lustre row failed but home retry produced metrics,,
result,SWE,0.0,Qwen3-32B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,80.230,6.527,84.858,8.060,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-235B-A22B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,4.789,1.550,24.058,1.722,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-235B-A22B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,6.947,2.374,52.841,2.889,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-30B-A3B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,30.849,1.066,10.989,1.330,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-30B-A3B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,237.720,8.261,90.784,9.374,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-32B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,22.828,1.860,49.031,2.471,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-32B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,27.879,2.174,52.227,3.213,initial lustre row failed but home retry produced metrics,,
result,Math,0.0,Qwen3-235B-A22B,eagle3_k3,archived_qwen235b_math,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,9.097,,69.580,3.087,baseline job 2113223 timed out so speedup unavailable,,
result,Math,0.0,Qwen3-235B-A22B,pard_k5,archived_qwen235b_math,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,8.450,,53.088,3.654,baseline job 2113223 timed out so speedup unavailable,,
result,Math,0.0,Qwen3-235B-A22B,suffix_k32,archived_qwen235b_math,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,24.080,,86.254,8.264,baseline job 2113223 timed out so speedup unavailable,,
result,Math,1.0,Qwen3-235B-A22B,eagle3_k3,archived_qwen235b_temp1,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,6.238,,42.561,2.277,baseline job 2124147 timed out so speedup unavailable,,
