domain,temperature,model,method,rows,batches,isl,osl,tp,total_gpus,baseline_tok_s_per_gpu,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len,source_group,source_file,basis
Math,0.0,Qwen3-8B,pard_k3,2,1/2,4096,32768,1,1,62.7974803952289,62.96778048710693,1.0361681047989568,64.52314251978544,2.9356942755935633,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
Math,0.0,Qwen3-8B,pard_k5,2,1/2,4096,32768,1,1,62.7974803952289,70.51371455351767,1.1494086866695734,46.210263705209556,3.3105131852604783,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
Math,1.0,Qwen3-8B,pard_k3,2,1/2,4096,32768,1,1,62.7711840487027,55.23006604177322,0.8897634155175654,46.950012499796145,2.4085003749938845,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
Math,1.0,Qwen3-8B,pard_k5,2,1/2,4096,32768,1,1,62.7711840487027,66.38489974056122,1.1039701078538389,42.87898235649133,3.143949117824566,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
SWE,0.0,Qwen3-8B,pard_k3,2,1/2,4096,32768,1,1,58.197409120661334,68.09174644792722,1.1931986056251616,72.557975726826,3.17673927180478,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
SWE,0.0,Qwen3-8B,pard_k5,2,1/2,4096,32768,1,1,58.197409120661334,66.60275448018925,1.2165123273019378,50.53628442233537,3.5268142211167683,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
SWE,1.0,Qwen3-8B,pard_k3,2,1/2,4096,32768,1,1,60.41530220413391,56.56102800870324,0.9696920544855065,57.443094705052495,2.723292841151575,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
SWE,1.0,Qwen3-8B,pard_k5,2,1/2,4096,32768,1,1,60.41530220413391,67.84746133453541,1.181892226004078,50.171013786059305,3.5085506893029645,oci_qwen8_pard1_20260616,docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,
Math,1.0,Qwen3-235B-A22B,eagle3_k3,2,mixed,4096,32768,4,4,,6.238,,42.561,2.277,archived_qwen235b_temp1_sweep,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,"temp1/top_p1 acceptance/tok-s only; baseline and official PARD2 timed out, so speedup blank"
Math,1.0,Qwen3-235B-A22B,pard_k5,2,mixed,4096,32768,4,4,,5.87,,31.768,2.588,archived_qwen235b_temp1_sweep,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,"temp1/top_p1 acceptance/tok-s only; baseline and official PARD2 timed out, so speedup blank"
