domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,state,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,basis,source,source_label,source_priority,logs_dir,valid_result
Math,Qwen3-30B-A3B,0.0,1.0,1,4096,32768,baseline,,COMPLETED,20.113413812196672,,,,,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,2,4096,32768,baseline,,COMPLETED,40.122374908964915,,,,,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,1,4096,32768,pard_k5,,COMPLETED,42.333389286590425,,,52.15435853678677,3.6077179268393382,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,2,4096,32768,pard_k5,,COMPLETED,61.56877960925148,,,43.45007866392351,3.1725039331961757,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,1,4096,32768,suffix_k32,,COMPLETED,146.74090361737424,,,88.43495145631069,7.845427764083449,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,2,4096,32768,suffix_k32,,COMPLETED,303.80628653369337,,,92.51909357622093,9.806978137166816,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,1,4096,32768,pard_k3,,COMPLETED,37.19917646013568,,,70.67225290420872,3.1201675871262617,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_pardk3_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_pardk3_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math,True
Math,Qwen3-30B-A3B,0.0,1.0,2,4096,32768,pard_k3,,COMPLETED,68.86752922951163,,,71.94779116465864,3.158433734939759,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_pardk3_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_math500_osl32k_pardk3_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math,True
SWE,Qwen3-30B-A3B,0.0,1.0,16,4096,32768,baseline,,COMPLETED,239.09084282358063,,,,,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_verified_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_swe_verified_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612,True
SWE,Qwen3-30B-A3B,0.0,1.0,16,4096,32768,pard_k5,,COMPLETED,203.82882453282508,,,44.300265531768765,3.215013276588438,legacy final breakdown,remote:/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_verified_osl32k_bsweep_lyris_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612/breakdown.json,Lyris legacy breakdowns refreshed 2026-06-25,40,/tmp/qwen_legacy_breakdowns/root/vllm-runs/qwen30ba3b_swe_verified_osl32k_bsweep_lyris_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612,True
