domain,dataset,model,temperature,top_p,method,rows,mean_speedup_vs_baseline,min_speedup,max_speedup,mean_tok_s_per_gpu,mean_acceptance_pct,mean_acceptance_length,basis,source
SWE,full+verified OSL32K,Qwen3-235B-A22B,0.0,default/greedy,eagle3_k3,10,2.022,1.817,2.501,,54.242,2.627,temp0 20260612 final spec rows / live baseline telemetry,docs/lyris_qwen235b_swebench_osl32k_batch_sweep_speedups_20260612.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,0.0,default/greedy,suffix_k32,10,4.367,3.418,6.180,,81.863,6.804,temp0 20260612 final spec rows / live baseline telemetry,docs/lyris_qwen235b_swebench_osl32k_batch_sweep_speedups_20260612.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,eagle3_k11,10,1.230,0.993,1.449,28.686,7.547,1.830,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,eagle3_k9,10,1.209,1.019,1.453,28.656,9.112,1.820,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,pard2_k11,10,0.814,0.730,0.859,19.723,1.294,1.142,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,pard2_k9,10,0.826,0.730,0.877,19.713,1.778,1.160,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,pard_k11,10,1.002,0.762,1.424,22.139,6.432,1.708,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,pard_k9,10,0.979,0.767,1.392,21.819,7.153,1.644,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,suffix_k16,10,1.739,1.282,3.402,36.667,50.903,2.789,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
SWE,full+verified OSL32K,Qwen3-235B-A22B,1.0,1.0,suffix_k8,10,1.782,1.267,3.790,36.643,51.726,2.688,temp1/top_p1 20260614 final rows / final matched baseline breakdowns,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
Math,Math500 OSL32K,Qwen3-30B-A3B,0.0/default,default/greedy,draft_model_k3,2,1.783,1.716,1.849,53.033,71.310,3.139,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-30B-A3B,0.0/default,default/greedy,draft_model_k5,2,1.820,1.535,2.105,51.951,47.802,3.390,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-30B-A3B,0.0/default,default/greedy,suffix_k32,2,7.434,7.296,7.572,225.274,90.477,8.826,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-8B,0.0/default,default/greedy,eagle3_k3,2,1.814,1.606,2.021,96.451,63.278,2.898,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-8B,0.0/default,default/greedy,pard2_k3,1,0.435,0.435,0.435,15.994,0.072,1.002,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-8B,0.0/default,default/greedy,pard2_k5,1,0.438,0.438,0.438,16.103,0.043,1.002,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-8B,0.0/default,default/greedy,suffix_k32,2,6.119,5.871,6.367,342.923,87.878,8.180,temp0/default 20260612 final rows / matched final baseline,docs/lyris_math500_osl32k_metrics_20260612.csv
Math,Math500 OSL32K,Qwen3-235B-A22B,1.0,1.0,eagle3_k3,2,,,,6.238,42.561,2.277,"temp1/top_p1 acceptance/tok-s only; baseline and official PARD2 timed out, so speedup blank",docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
Math,Math500 OSL32K,Qwen3-235B-A22B,1.0,1.0,pard_k5,2,,,,5.870,31.768,2.588,"temp1/top_p1 acceptance/tok-s only; baseline and official PARD2 timed out, so speedup blank",docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
Math,Math500 OSL32K,Qwen3-235B-A22B,1.0,1.0,suffix_k32,2,,,,15.367,66.301,5.125,"temp1/top_p1 acceptance/tok-s only; baseline and official PARD2 timed out, so speedup blank",docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv
