model,dispatcher,scope,router_replay,status,failure,exit_code,mode,cluster,profile,phase,steps,step,repeat,run_group,job_id,e2e_step_time,e2e_tokens_per_sec_per_gpu,generation_time,generation_tokens_per_sec_per_gpu,policy_training_time,policy_training_tokens_per_sec_per_gpu,logprob_time,logprob_tokens_per_sec_per_gpu,graph_telemetry_status,capture_count,replay_count,cache_hits,cache_misses,cache_evictions,fallback_count,graph_calls,eligible_calls,graph_coverage,logical_tokens,padded_tokens,capacity_tokens,capacity_utilization,padding_utilization,reward,policy_loss,gen_kl_error,token_mult_prob_error,policy_kl_error,js_divergence_error,sampling_importance_ratio,num_masked_seqs_by_logprob_error,router_topk_parity,expert_count_parity,parameter_delta_parity,parameter_delta_max_abs_error,parameter_delta_max_rel_error,grad_norm,nan_inf_status,nemo_rl_commit,bridge_commit,mcore_commit,te_commit,te_version,container_sha256
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,1,1,nano-ep8-v2,5893775,253.8230393808335,11.07365984922582,25.307794905034825,111.06261966113922,126.59993253881112,22.20182857631715,97.97480941587128,28.688496734597138,reported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,44972.0,45024.0,49152.0,0.9149576822916666,0.9988450604122245,0.0,2.1068188189588e-06,0.0023247096096383757,1.042546614073217,0.00284108832693164,0.0005959485108633089,0.9996079927077517,0.0,,,,,,0.0007404781063087285,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,2,1,nano-ep8-v2,5893775,49.12180806719698,64.1873767286172,27.18391702999361,115.98769951074786,2.9315631620120257,1075.5354142995832,4.592488056048751,686.5559499598903,reported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,50448.0,50488.0,65536.0,0.769775390625,0.9992077325305023,0.0,1.9679417899709506e-05,0.0018696156686246468,1.0387600467947777,0.002006492017471828,0.0004747197757524191,0.9997648082789965,0.0,,,,,,0.010482880286872387,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,3,1,nano-ep8-v2,5893775,45.25865066004917,76.4563779417864,29.06927103898488,119.03678270292245,2.9768179529346526,1162.4199244662245,3.382450672099367,1023.0193535541812,reported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,55365.0,55416.0,65536.0,0.8448028564453125,0.9990796881766999,0.0,1.6879172711981028e-05,0.0017241161822312279,1.0365777884144336,0.0023136784166126745,0.0004437851569036866,0.9997861844021827,0.0,,,,,,0.012920806184411049,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,4,1,nano-ep8-v2,5893775,44.87948405393399,71.15444990772079,26.684929478215054,119.66960612007597,5.227436175802723,610.8874202581013,3.1675894840154797,1008.1404222720909,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,51094.0,51128.0,65536.0,0.779632568359375,0.9993350023470505,0.0,1.8145720134477017e-05,0.0019381052945277588,1.0378603847348131,0.0022152316922756654,0.0004769964061495102,1.0001109047298087,0.0,,,,,,0.0050918483175337315,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,5,1,nano-ep8-v2,5893775,49.102101664058864,47.67489416269711,30.38941456703469,77.03134572850121,4.648825570940971,503.5545998182439,3.307732009096071,707.7167961499172,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,37455.0,37504.0,49152.0,0.76202392578125,0.9986934726962458,0.0,2.611168692112642e-05,0.0027320362441969337,1.0443583946907893,0.003057176518268534,0.0006935025085113011,1.0005174258258194,0.0,,,,,,0.04358067363500595,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,6,1,nano-ep8-v2,5893775,46.27328990097158,69.99178158568746,25.687652996974066,126.0819741056731,6.43042240710929,503.66053657988795,3.790026265894994,854.5455289173799,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,51820.0,51872.0,65536.0,0.79071044921875,0.9989975323874152,0.0,2.1596292867798184e-05,0.0019402391772018746,1.3031340449815616,0.26656200957586407,0.0005342926365301537,0.9998679507989436,0.0,,,,,,0.017176566645503044,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,7,1,nano-ep8-v2,5893775,41.73858460597694,60.04635815180725,25.081812181975693,99.92300324300503,4.185616477159783,598.776790390661,3.2941349698230624,760.8218919258849,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,40100.0,40144.0,49152.0,0.8158365885416666,0.9989039457951375,0.0,2.338557479930614e-05,0.0020421438039193163,1.0400936976075172,0.0021110779425725923,0.0005096089739708987,1.0000855549005792,0.0,,,,,,0.025813305750489235,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,8,1,nano-ep8-v2,5893775,32.946770967915654,76.53064096798546,15.909113151952624,158.49013555419512,4.358461111085489,578.5155438434158,3.2755923909135163,769.7653429023893,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,40343.0,40416.0,49152.0,0.8207804361979166,0.9981937846397466,0.0625,0.04823770066514044,0.002777792211418273,1.0608477448113263,0.022005732815159718,0.0007346326001425041,1.00048629171215,0.0,,,,,,1.1721100807189941,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,9,1,nano-ep8-v2,5893775,43.98825792199932,57.78530726329952,26.370463751954958,96.39098591171191,4.803801988949999,529.1381713582236,3.3424454741179943,760.4836098846911,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,40670.0,40728.0,49152.0,0.8274332682291666,0.9985759182871734,0.125,-0.21815591260279277,0.0021622939046892498,1.0388775105893728,0.002322641635458922,0.0005491275732083523,1.0003498315054458,0.0,,,,,,1.5150556564331055,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,10,1,nano-ep8-v2,5893775,94.00507233804092,39.98055537349023,27.544096443103626,136.44938427236033,5.500242550158873,683.3107750659906,3.5850649219937623,1048.3422425471322,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,60134.0,60176.0,65536.0,0.917572021484375,0.9993020473278383,0.0,2.3030946280311326e-05,0.0018235606725340858,1.0373231293142453,0.0019495394693365142,0.00046284907654481344,0.9996600895628944,0.0,,,,,,0.014158744364976883,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
