scope,job_id,status,step,geometry_key,capture_count,replay_count,cache_hit_count,eviction_count,fallback_count,e2e_step_time,e2e_tokens_per_sec_per_gpu,generation_time,generation_tokens_per_sec_per_gpu,policy_training_time,policy_training_tokens_per_sec_per_gpu,logprob_time,logprob_tokens_per_sec_per_gpu,reward_mean,generation_kl_error,policy_loss,grad_norm,peak_allocated_gib,peak_reserved_gib
baseline-no-cg,2473134,smoke:running; tag=nano-s13-source-path-20260729T2125Z,,,,,,,,,,,,,,,,,,,,,
attn,2473144,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
mamba,2473145,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-mamba,2473146,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe-router,2473147,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-moe-router,2473148,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
mamba-moe-router,2473149,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-mamba-moe-router,2473150,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe-router-preprocess,2473151,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-moe-router-preprocess,2473152,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
mamba-moe-router-preprocess,2473153,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-mamba-moe-router-preprocess,2473154,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe,2473155,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-moe,2473156,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
mamba-moe,2473157,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-mamba-moe,2473158,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
mlp,2473159,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-mlp,2473160,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
mlp-mamba,2473161,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
attn-mlp-mamba,2473162,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe-overlap-false-moe-act-false,2473163,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe-overlap-false-moe-act-true,2473164,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe-overlap-true-moe-act-false,2473165,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
moe-overlap-true-moe-act-true,2473166,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
router-preprocess-overlap-false-moe-act-false,2473167,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
router-preprocess-overlap-false-moe-act-true,2473168,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
router-preprocess-overlap-true-moe-act-false,2473169,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
router-preprocess-overlap-true-moe-act-true,2473170,smoke:submitted; tag=nano-cg-matrix-s13-20260729T2127Z,,,,,,,,,,,,,,,,,,,,,
