model,bench,alpha,beta,gamma,delta,n_points,median_rel_err_pct,p90_rel_err_pct,optimal_k_agreement,mean_regret_pct,worst_regret_pct
Nemotron3-Super-120B (FP8),openmath,0.005934404690208349,5.3336707527088647e-05,0.0011024111211803127,0.0,32,12.432772307743276,30.266087306952162,6/8,2.6064158369171198,13.042817581653289
Nemotron3-Super-120B (FP8),swe_verified,0.00620946934147458,5.8546772040726594e-05,0.0012443108153703092,0.0,32,13.402963038840593,33.61083748509996,2/8,10.65732224040894,58.20512432494029
Nemotron3-Super-120B (FP8) (40K),openmath,0.005619554734574987,6.143948024174364e-05,0.0012183632770942246,0.0,60,12.759761793370172,32.974150092088315,4/8,5.556691685809589,12.495486868149097
Nemotron3-Ultra-550B (NVFP4),openmath,0.008242195705148543,0.0001952445723071882,0.0016430242597767584,0.0,28,17.26957290061202,34.70776882882224,4/7,4.666377505252262,15.218662300018448
Nemotron3-Ultra-550B (NVFP4),swe_verified,0.009066328608191268,0.00019197219628669105,0.0019027984200970325,0.0,28,17.625331135184158,36.87071376891687,4/7,5.583564015381648,17.64213713000614
Qwen3-235B-A22B,openmath,0.0009935788915639153,0.0008641608571257626,0.00717525416701081,0.0,35,46.59237840730717,87.66386275305065,1/7,32.55181749347711,51.987882719387976
Qwen3-235B-A22B,swe_verified,0.0002893163266384229,0.0009232897661699103,0.007525945235496419,0.0,35,50.746271664125196,86.16813598875139,1/7,18.221924158549164,34.04235455480801
Qwen3-30B-A3B,openmath,0.0061387704822380065,2.441375193733828e-07,7.924565136569049e-05,5.635590365148512e-05,48,18.466883954058538,40.697235343115636,1/8,12.926916789884913,46.7173334641724
Qwen3-30B-A3B,swe_verified,0.006137495232429251,9.216679282365469e-06,2.9519103760997498e-05,4.611770305178947e-05,48,19.526106891062344,39.58840443156019,1/8,9.910952560616447,35.97459061659441
Qwen3-30B-A3B (40K),openmath,0.005098457147611764,0.0,2.626678270588745e-05,0.00013379823890804593,40,22.19954263487265,56.95472766066233,2/8,17.839126331448984,46.1578754846364
Qwen3-32B,openmath,0.007148828405792544,3.496729203822504e-05,0.000507162511858983,7.660107860977226e-06,45,6.876081945038698,14.647125705560073,7/9,1.5483103471497173,9.116530775453114
Qwen3-32B,swe_verified,0.007534083626421162,5.045389431703091e-05,0.00034051163637207943,0.0,45,4.779631318871865,17.563685758907287,5/9,1.7996532918442165,5.251249186943818
