model,bench,tau,n_points,median_rel_err_pct,p90_rel_err_pct,optimal_k_agreement,mean_regret_pct,worst_regret_pct
Nemotron3-Super-120B (FP8),openmath,16,32,5.605644399298221,18.372651219015108,6/8,8.757797529542554,59.23958183292359
Nemotron3-Super-120B (FP8),swe_verified,16,32,5.739583890804235,18.95004874413044,4/8,8.26725609355381,58.20512432494029
Nemotron3-Super-120B (FP8) (40K),openmath,16,60,6.359087070497652,17.073487995280146,5/8,8.773204644035705,57.5667970289843
Nemotron3-Ultra-550B (NVFP4),openmath,16,28,6.095153702350592,15.932572488690766,7/7,0.0,0.0
Nemotron3-Ultra-550B (NVFP4),swe_verified,16,28,6.252810455171554,16.018197805511996,6/7,6.568656320891575,45.98059424624105
Qwen3-235B-A22B,openmath,256,35,41.06016025546839,63.23320145811482,1/7,32.55181749347711,51.987882719387976
Qwen3-235B-A22B,swe_verified,256,35,42.628910966348016,66.0123895791008,1/7,18.221924158549164,34.04235455480801
Qwen3-30B-A3B,openmath,128,48,21.68602653559266,40.3409702759062,1/8,12.926916789884913,46.7173334641724
Qwen3-30B-A3B,swe_verified,128,48,19.623370992415005,38.87830241369494,1/8,9.100638873832455,35.97459061659441
Qwen3-30B-A3B (40K),openmath,512,40,10.376581277871292,23.126778360067576,3/8,4.957374397761061,11.781305371454875
Qwen3-32B,openmath,1024,45,6.333349632723944,15.300057220131427,7/9,1.3538200226801744,9.116530775453114
Qwen3-32B,swe_verified,1024,45,5.693245695813192,12.85868148295759,9/9,0.0,0.0
