model,bench,variant,k,sample_method,tp,tag,step,num_sequences,wall_s,output_tok_s,len_p50,len_p90,len_max,total_tokens,mean_acceptance_length
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,0,128,54.034352343995124,9702.864515933528,4096,4096,4096,524288,
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,1,128,54.20663680200232,9672.025990378977,4096,4096,4096,524288,
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,2,128,53.71850946499035,9759.91339338429,4096,4096,4096,524288,
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,3,128,55.12392078799894,9493.664320661566,4096,4096,4096,523328,
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,0,128,32.063801209034864,16351.398780886508,4096,4096,4096,524288,2.868625477302815
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,1,128,31.944062474009115,16412.690165084055,4096,4096,4096,524288,2.8960931373090473
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,2,128,31.55974125402281,16612.556984546598,4096,4096,4096,524288,2.8309038687873196
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,3,128,31.15404293301981,16823.88385760612,4096,4096,4096,524132,2.9225755370813333
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,0,128,29.58709326799726,17720.159099477798,4096,4096,4096,524288,2.8545568379790938
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,1,128,29.353145511995535,17861.390691016164,4096,4096,4096,524288,2.869678725849707
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,2,128,28.757930012012366,18231.075733928057,4096,4096,4096,524288,2.812871520848087
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,3,128,28.708628264954314,18256.95032039644,4096,4096,4096,524132,2.8822041494141004
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,0,128,42.77406178181991,7665.089223286062,2240,4096,4096,327867,
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,1,128,51.57876057201065,8716.64993524434,4085,4096,4096,449594,
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,2,128,50.070933773880824,8943.95143542557,4096,4096,4096,447832,
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,3,128,48.33084539184347,7872.5086829168595,3262,4096,4096,380485,
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,0,128,24.04684696700133,13720.6345785276,2227,4096,4096,329938,3.2316222570532918
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,1,128,27.787793559997226,16262.752169375377,3931,4096,4096,451906,2.929338242920859
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,2,128,27.408576406000066,16451.638834525133,4096,4096,4096,450916,3.0693891441211503
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,3,128,23.725690653998754,16179.507926581777,3561,4096,4096,383870,3.2372265236239732
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,0,128,21.82836062600836,15038.69235186028,2234,4096,4096,328270,3.0374278098622836
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,1,128,26.405771850026213,17058.013019208633,3924,4096,4096,450430,2.85399332070139
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,2,128,25.63008826598525,17538.8003090328,4096,4096,4096,449521,2.9044674472099454
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,3,128,22.72400655801175,16723.371339902053,3418,4096,4096,380022,2.998445379145984
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,0,128,53.605061276000015,9256.644581472745,4096,4096,4096,496203,
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,1,128,55.353446395999526,9389.117278839587,4096,4096,4096,519720,
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,2,128,45.5101959349995,7348.155575459042,2871,4096,4096,334416,
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,3,128,49.11126109199995,8506.012484946115,4096,4096,4096,417741,
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,0,128,29.69240128301317,16882.265439635434,4096,4096,4096,501275,3.0187991882989804
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,1,128,29.79453026194824,17509.086245479477,4096,4096,4096,521675,2.888907961328475
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,2,128,23.01698607200524,14684.72018632775,2818,4096,4096,337998,3.2541287495786992
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,3,128,24.814414218999445,16747.765888497248,3805,4096,4096,415586,3.2269864811349325
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,0,128,27.592856586910784,18157.054468860668,4096,4096,4096,501005,2.991741262040261
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,1,128,28.63716030586511,18216.994786775536,4096,4096,4096,521683,2.8675384209484864
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,2,128,22.031968377064914,15118.394974946574,2769,4096,4096,333088,2.933386774253222
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,3,128,23.319009182974696,17803.329324262504,4096,4096,4096,415156,3.028401546654994
