batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,221.28215712880152,4.51911718945297,,False
1,1,357.63686458090183,2.796132331525314,1.8350515463917527,False
1,2,437.49381911804807,2.2857465781251918,2.430860534124629,False
1,3,469.54478405729213,2.1297223054190795,2.861731843575419,True
2,0,402.80930764387597,4.965128565917354,,False
2,1,623.1898322352446,3.2092949797117853,1.788818519327364,False
2,2,717.2743861637271,2.7883332216793733,2.4193738924985233,False
2,3,753.7062857506422,2.6535535629879092,2.770974289580514,True
4,0,759.7639563077054,5.264793054199579,,False
4,1,1112.3899771921144,3.5958612375281973,1.7817667536988686,False
4,2,564.2149737745137,7.0894963549807954,2.356156501726122,False
4,3,1329.6544551678192,3.0083003779317607,2.735058430717863,True
8,0,1323.0944216838584,6.04643165966845,,False
8,1,1895.3121821001448,4.220940526607819,1.8073379310344828,False
8,2,2013.1585341325251,3.9738549470209605,2.375842818821141,False
8,3,2235.625224354616,3.5784173093276195,2.842570908144679,True
16,0,2318.340076596077,6.901489631103708,,False
16,1,3209.576739947284,4.98508099241235,1.8240305114000166,False
16,2,3415.1948014457225,4.684945055909218,2.4425765087411935,False
16,3,3891.7614645724493,4.111248889648422,2.9164812672421467,True
32,0,3861.669453276416,8.286571491210815,,False
32,1,5432.691057213367,5.890266842527581,1.8310416142645538,False
32,2,5583.8141070853435,5.730849807373595,2.454732741506536,False
32,3,6359.004297585718,5.032234372313482,2.9426698691328648,True
64,0,6402.413879159589,9.996229735838469,,False
64,1,9099.555036181368,7.033310941636728,1.8170989593083318,False
64,2,9724.955695632296,6.5810068449714265,2.4515033902267946,False
64,3,10602.449391736953,6.036341003417434,2.9406038311426137,True
