batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,216.1712088546452,4.625962936037453,,False
1,1,357.97621264361425,2.7934817026391556,1.7347457627118645,False
1,2,428.2849943392094,2.334893851564601,2.4167650531286897,False
1,3,487.1668635120484,2.052684767578139,2.958152958152958,True
2,0,415.6029993551894,4.81228480810536,,False
2,1,607.4894637232381,3.2922381694362457,1.77734375,False
2,2,760.6292955202997,2.6294017490240407,2.4001171646162858,False
2,3,803.0248789706201,2.49058286035142,2.8704481792717087,True
4,0,721.7499900915881,5.542085285643594,,False
4,1,1058.7937359055086,3.777884081056726,1.751604621309371,False
4,2,527.5693311568942,7.581941867675468,2.3185164212910534,False
4,3,1294.3177594361146,3.0904312104491627,2.6479146459747818,True
8,0,1313.590840381075,6.090176449220053,,False
8,1,1832.7914812761614,4.364926442384842,1.7776330076004343,False
8,2,1877.528924615364,4.260919709473399,2.338424207821867,False
8,3,2112.073773771498,3.7877464790041504,2.7682432432432433,True
16,0,2223.211501585606,7.196796161133889,,False
16,1,3014.639822188074,5.307433373047843,1.7945318064763573,False
16,2,3087.5978387646524,5.182022023438648,2.398140692482249,False
16,3,3589.558865566833,4.457372228515721,2.8466481417158738,True
32,0,3763.7444586089923,8.502171269041625,,False
32,1,5020.852389230587,6.373419793945345,1.7984021524269713,False
32,2,5412.99907363358,5.911695081543655,2.399297038040493,False
32,3,6224.90163905255,5.140643476074347,2.846584740978766,True
64,0,6510.22120506523,9.83069514599677,,False
64,1,8745.980492323455,7.317647238771485,1.7934995413534864,False
64,2,9681.726163364732,6.610391465333265,2.3904018386443644,False
64,3,10501.756800205689,6.094218445312549,2.8140039066692424,True
128,0,10636.167781009937,12.034409632812881,,False
128,1,14339.886186121625,8.926151737792765,1.7945056299827402,True
128,2,12787.909212918263,10.009454858398215,2.383782161468991,False
128,3,13794.414441830746,9.279118047363255,2.8269334425734676,False
