batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,222.1974479782863,4.500501734375106,,False
1,1,327.9870779803483,3.048900603516813,1.7753686036426712,False
1,2,400.2698009990327,2.4983148803734423,2.374709976798144,False
1,3,415.71426538637064,2.405498399412842,2.650259067357513,True
2,0,383.4689744529632,5.215545802246702,,False
2,1,583.5097382570598,3.427534913083008,1.856235827664399,False
2,2,753.5903652023043,2.653961744140787,2.4788135593220337,False
2,3,785.8461668965789,2.5450273657225964,2.9215965787598,True
4,0,725.0824990715407,5.516613633789191,,False
4,1,1034.7881545433258,3.8655255014639067,1.8276785714285713,False
4,2,523.1244174551858,7.646364548339335,2.4054609512624783,False
4,3,1251.6472629857594,3.1957885566402666,2.8006837606837607,True
8,0,1213.3643510626105,6.593238043456573,,False
8,1,1624.3761792437529,4.924967567379923,1.7868208596988873,False
8,2,1736.0417692116152,4.6081840551757125,2.395583503948523,False
8,3,1888.2507178735223,4.236725517578144,2.786673465918749,True
16,0,2084.867461350324,7.674348751952387,,False
16,1,2954.9150941131875,5.414707187991752,1.8077050447069212,False
16,2,2966.5703599448566,5.393433513674495,2.35043409629045,False
16,3,3187.1385377320344,5.02017713085845,2.7235562941420857,True
32,0,3457.524607225852,9.255176357421568,,False
32,1,4814.130178326487,6.647099021972025,1.791183548457668,False
32,2,5008.81612742889,6.38873521923955,2.3133385115096736,False
32,3,5153.3625304302905,6.209537910644158,2.6515917640872133,True
64,0,6079.089087236504,10.527893090820584,,False
64,1,7774.396594075405,8.232150138670846,1.755880815473079,False
64,2,8514.495122075505,7.516593653811299,2.24223602484472,False
64,3,8524.141559475396,7.508087418944598,2.55080078619106,True
128,0,10191.267619035218,12.559772227050736,,False
128,1,12918.083734758511,9.908590362794456,1.7584688596991684,False
128,2,12979.293523310791,9.861861877929812,2.247466085852956,True
128,3,12721.309424839357,10.061857291991494,2.5536343977088976,False
