batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,144.0421717555151,6.942411293946016,,False
1,1,235.25551617383906,4.250697353515243,1.8220640569395017,False
1,2,312.1454102728128,3.2036351235342764,2.5377942998760843,False
1,3,347.13629665448144,2.880712877441738,2.998535871156662,True
2,0,279.02578261894973,7.167796399414783,,False
2,1,425.1858157775783,4.703825776366521,1.853713768115942,False
2,2,528.364618807522,3.7852648129881317,2.573492462311558,False
2,3,556.3155719808065,3.5950818217775904,3.0445765230312034,True
4,0,501.261622176674,7.979864851074048,,False
4,1,689.1437470988258,5.804304278808736,1.8412055780476833,False
4,2,465.3180649693914,8.596270596679112,2.511955855303495,False
4,3,933.93076925671,4.282972712402966,3.0608663181478715,True
8,0,820.4361206648341,9.750911495117087,,False
8,1,1157.0498191642575,6.914136165526941,1.8564625850340137,False
8,2,1306.5214228555517,6.1231296020505255,2.5600687392594907,False
8,3,1464.2528757577843,5.463537161134013,3.130252100840336,True
16,0,1300.7191323473342,12.30088771826221,,False
16,1,1683.456858445556,9.504253061034085,1.8404428707918843,False
16,2,2022.36865925332,7.911515008300896,2.5606877686596325,False
16,3,2250.9955986497803,7.107965919434633,3.2338892726734434,True
32,0,2070.2900764890746,15.456771185546891,,False
32,1,2818.293395079304,11.354389168945822,1.8580465802388586,False
32,2,3278.491598392237,9.76058624511733,2.5933839822728713,False
32,3,3536.2593427102233,9.049110062011145,3.234200009867285,True
64,0,3341.900774234898,19.15077805224552,,False
64,1,4658.593030252798,13.738053438964393,1.8517073722297603,False
64,2,5083.47058960229,12.58982399365216,2.5581363574258775,False
64,3,5494.83312794416,11.647305479492331,3.1388829035887857,True
