batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,146.1457911107534,6.842482375986947,,False
1,1,195.73574186134272,5.108928959476344,1.5472411186696902,False
1,2,221.57520955200616,4.513140265203219,1.926553672316384,True
1,3,203.43486822062212,4.91557818355659,1.9194001874414246,False
1,5,209.13774115543734,4.78153772951373,2.220173535791757,False
2,0,262.55595913849857,7.617423754396668,,False
2,1,288.2873215680018,6.937523263673029,1.543363499245852,False
2,2,302.6997830764555,6.607206584931191,1.858374943259192,True
2,3,292.2758761991076,6.842850070313489,1.9859428017450313,False
2,5,269.481260533821,7.421666337904753,2.052026013006503,False
4,0,428.8012598843174,9.328330800798312,,False
4,1,536.7066114327675,7.4528614233422275,1.547929665343165,True
4,2,455.6403471150939,8.778853816011178,1.8322147651006713,False
4,3,535.1634673799828,7.474351751966424,1.938698224852071,False
4,5,405.7767081486701,9.857638251958178,2.0337636544190665,False
8,0,734.1223324165597,10.897366347194293,,False
8,1,913.8883300388825,8.753804745115445,1.5446058091286305,False
8,2,770.709185110816,10.380050159710663,1.826271186440678,False
8,3,932.6676807617954,8.577546070284825,1.9674435367611727,True
8,5,142.89172416821717,55.98644740672398,2.0633581055548555,False
16,0,1213.3981241420347,13.186109061535944,,False
16,1,1490.4277221326097,10.735173375000073,1.5449356040949191,False
16,2,257.5528941987187,62.123161340423394,1.821847711218644,False
16,3,1504.9116965221372,10.631853042923467,1.9675695153444237,True
16,5,265.522047620261,60.25864949219795,2.0619335347432024,False
32,0,2054.447743256126,15.575962009762634,,False
32,1,2551.6458764152726,12.540925171386164,1.5374900230057749,True
32,2,487.75481420036385,65.60673327737732,1.829066033784727,False
32,3,520.4842833936597,61.48120321972783,1.9815234812059632,False
32,5,513.8176725993271,62.27890107032863,2.080222222222222,False
64,0,3501.5980926589705,18.277368877420486,,True
64,1,842.9011290468446,75.92824092236228,1.5455092505191619,False
64,2,960.3161682816817,66.64471776468872,1.8311298076923077,False
64,3,983.9938610660308,65.04105618165568,1.980908472526642,False
64,5,990.6921857801251,64.60129686962546,2.117387652246955,False
