batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,323.86007177870465,3.087753283409711,,False
1,1,425.5915010640864,2.349670981445229,1.8083885209713024,False
1,2,479.05435777719714,2.0874457851505213,2.454436450839329,False
1,3,500.9205750446259,1.9963244670293534,2.965966690803765,True
1,5,496.71537384933936,2.013225385496753,3.6768402154398565,False
2,0,602.365626153484,3.320242578865873,,False
2,1,716.096632057149,2.7929191542970244,1.838796587337225,False
2,2,773.2128055835537,2.5866100322673446,2.491030708422013,False
2,3,821.4557265492007,2.4347021213202424,3.0310880829015545,True
2,5,770.5752023460387,2.595463744370363,3.7081447963800906,False
4,0,1054.55860173658,3.7930561596226653,,False
4,1,1489.7588131173895,2.684998380126924,1.819888888888889,False
4,2,1609.291125909132,2.4855664308347514,2.4656132430398796,False
4,3,1709.1186480238723,2.3403875468943625,2.9648995838610457,False
4,5,1747.6155430829544,2.2888329277179764,3.6805836139169474,True
8,0,1868.2849660487148,4.282002020772779,,False
8,1,2660.1957258424227,3.007297516601559,1.8252438005015326,False
8,2,3068.16730540141,2.6074197407410793,2.48600257947045,False
8,3,3378.6897570124634,2.3677817661109657,2.9964341227027522,True
8,5,3332.211829308072,2.4008077546682216,3.7209988649262202,False
16,0,3264.9846583153003,4.900482444611498,,False
16,1,4580.601741157854,3.4929908566894152,1.8339024799865644,False
16,2,5370.788369710579,2.9790784701617667,2.478216473791695,False
16,3,5354.401797541042,2.9881956201620596,2.947832343946753,False
16,5,5766.2759130756485,2.7747544934015878,3.637488212126255,True
32,0,5532.38153361442,5.784127469439682,,False
32,1,8013.665850032256,3.993178727295099,1.830244283978379,False
32,2,9149.980332929743,3.4972752766293524,2.4832133383857524,False
32,3,10275.191745147018,3.1142971142230635,3.0025884185449883,True
32,5,6590.250102533366,4.855657904045074,3.566353869169047,False
64,0,9634.648798274975,6.642691533443212,,False
64,1,13594.760019484489,4.707696193847699,1.8215313399224322,False
64,2,16185.396204698442,3.954181855704064,2.4646940464101696,False
64,3,17513.117818175007,3.6544035542078745,2.957505612147055,True
64,5,14673.606043837945,4.361572731937713,3.5594929493356497,False
128,0,16212.435497403469,7.8951740483717,,False
128,1,22948.815602676885,5.577629896728498,1.8209417208604304,False
128,2,26013.55154857538,4.92051228610535,2.4674501350753504,True
128,3,25735.167120534927,4.973738829846752,2.958952191774638,False
128,5,6310.5729054796775,20.283419891853782,3.589447390932421,False
