batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,320.02613977766293,3.1247447495843517,,False
1,1,417.28185246220136,2.396461753846779,1.7007481296758105,False
1,2,463.73905769141254,2.1563851123047595,2.127858627858628,False
1,3,479.3122974319603,2.0863224360354593,2.4270462633451957,True
1,5,421.77719988002275,2.3709200029884414,2.6758169934640526,False
2,0,525.8269105691468,3.8035329873764567,,False
2,1,562.153185271373,3.5577491196363553,1.6699306405548757,False
2,2,555.2357606781343,3.602073464355593,2.050025012506253,False
2,3,596.7992237029615,3.3512107934567936,2.416028285209193,True
2,5,564.9668158925047,3.5400309252509032,2.727393617021277,False
4,0,902.4360253347893,4.432447162685094,,False
4,1,1163.2178984523,3.438736633370354,1.680279088856967,False
4,2,1045.6576234452866,3.8253438891600045,2.122893440497796,False
4,3,1280.0052464213911,3.1249871914065253,2.3907207470090457,True
4,5,1214.4130889012251,3.293772141091722,2.5943037974683545,False
8,0,1521.0542278751577,5.259510051246252,,False
8,1,1910.5747627252204,4.18722164454266,1.6858142886555487,False
8,2,2131.5927876262494,3.7530620512695734,2.1319968758135905,False
8,3,2181.069320361186,3.667925602050648,2.385007278020378,True
8,5,2103.0438456647225,3.8040100859007,2.6375342024786734,False
16,0,2403.4264767590003,6.6571622451192525,,False
16,1,3077.7902579607126,5.198534876967642,1.6802811842577865,False
16,2,3370.1635557188356,4.747544068847809,2.090155043705736,False
16,3,3476.4898915600065,4.602343311523427,2.329779673063255,False
16,5,3488.5981348803707,4.586369476044183,2.6504367518602394,True
32,0,4008.9968375058697,7.982046705706125,,False
32,1,5376.57109283332,5.951748697725634,1.6821870666187273,False
32,2,5699.255918023162,5.6147680434570635,2.1085508319119493,False
32,3,6107.830346959359,5.239176300293025,2.38628750364113,False
32,5,6302.720100868537,5.077172948801945,2.644534086325131,True
64,0,6748.885713839664,9.483046937475592,,False
64,1,9162.788630976776,6.984773149042667,1.6801764826595527,False
64,2,10275.0857766944,6.2286584648434395,2.119018742217694,False
64,3,10287.106471223351,6.221380149902256,2.3604848004610286,True
64,5,10088.147284962874,6.344078668973907,2.6328247339891586,False
128,0,10965.389083646194,11.673092402247676,,False
128,1,15471.851307724839,8.273088814917173,1.681095995893224,False
128,2,16894.2039030402,7.576562987792856,2.1108480118555746,False
128,3,17126.62080453367,7.473745198242288,2.382572659359834,True
128,5,5689.588753490074,22.49723232131373,2.63136983415104,False
