cluster	job_id	purpose	source_commit	image_sha256	state	exit_code	claim_scope	log_path
pretyche	2574124	stage nightly container	6c7b1fb53c5b6d48a1c0fb7d644d194a7d2c7e99	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	COMPLETED	0:0	container provenance	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/container-stage/slurm-2574124.out
pretyche	2574467	GPU smoke and Linux feature contracts	0759503e4f6b2fd85858a0d9b97a4975f198169c	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	FAILED	1:0	runner root cause only	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/contracts/slurm-2574467.out
pretyche	2574515	GPU smoke and Linux feature contracts retry	7d3b82d67ae41e8c10e0c81a0a5737765a458ffb	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	COMPLETED	0:0	GPU smoke and 31 selected contracts passed	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/contracts/slurm-2574515.out
pretyche	2574549	Q30 matched eager six-update functional gate	2c184f89c3cee52d444c85afc65e2645cb4f3d9d	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	FAILED	1:0	Ray bootstrap root cause only; model not started	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/runs/q30-matched-eager-functional-20260813T035932Z/slurm-2574549.out
pretyche	2574678	cache-free Ray smoke attempt	2c184f89c3cee52d444c85afc65e2645cb4f3d9d	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	FAILED	1:0	Ray lifecycle positive; malformed diagnostic excluded	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/runs/ray-bootstrap-no-cache-20260813T041513Z/slurm-2574678.out
pretyche	2574686	cache-free Ray bootstrap acceptance	2c184f89c3cee52d444c85afc65e2645cb4f3d9d	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	COMPLETED	0:0	Ray head worker and driver lifecycle	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/runs/ray-bootstrap-no-cache-fixed-20260813T041657Z/slurm-2574686.out
pretyche	2574659	refresh nightly container	6ede0dc763c77fb6c26349b0a617a8abe2985e95	ab3380e548e5c62aa0bbaeaba3d1b47896151868f74e5859ac4eb311f1a069ab	COMPLETED	0:0	container provenance	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/container-stage-refresh/slurm-2574659.out
pretyche	2574771	Q30 matched eager gate superseded before allocation	2c184f89c3cee52d444c85afc65e2645cb4f3d9d	ddbce4c3056752820496798f511e25cb0a78fc294c8955cf787a8aea3a924f0c	CANCELLED	0:0	no runtime evidence; deterministic non-editable packaging issue avoided	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/runs/q30-matched-eager-functional-cache-fixed-20260813T042630Z/slurm-2574771.out
lyris	2678498	stage backup nightly container	0759503e4f6b2fd85858a0d9b97a4975f198169c	c42c28fee0c4b38fa9e76b1511249092448111f31997c61b33270216a95fa06e	COMPLETED	0:0	container provenance	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/container-stage/slurm-2678498.out
lyris	2678843	GPU smoke and latest feature contracts	80126e248be92dd82416e53479d7ebc832adf2bc	c42c28fee0c4b38fa9e76b1511249092448111f31997c61b33270216a95fa06e	COMPLETED	0:0	GPU smoke and 31 selected contracts passed	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/contracts/slurm-2678843.out
lyris	2678892	Q30 matched eager six-update gate attempt	80126e248be92dd82416e53479d7ebc832adf2bc	c42c28fee0c4b38fa9e76b1511249092448111f31997c61b33270216a95fa06e	FAILED	1:0	non-editable wheel omitted nemo_rl subpackages; model not started	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/runs/q30-matched-eager-functional-80126-20260813T043644Z/slurm-2678892.out
lyris	2678917	editable source import smoke	80126e248be92dd82416e53479d7ebc832adf2bc	c42c28fee0c4b38fa9e76b1511249092448111f31997c61b33270216a95fa06e	COMPLETED	0:0	editable nemo_rl.algorithms import accepted	/lustre/fsw/coreai_dlalgo_llm/users/sna/experiments/nemo2606_features_20260812/logs/editable-import-smoke/slurm-2678917.out
