model,arm,metric,mean,median,stdev,count,aggregate
nano,bf16,e2e_throughput,37.614068483,40.103183746,10.622533669,19,35.055237942
nano,bf16,generation_throughput,63.380291186,61.143085480,12.384074497,19,62.359775655
nano,bf16,total_step_time,44.142598002,39.850120544,14.616984187,19,
nano,bf16,generation_time,24.814542068,24.549947739,3.668269569,19,
nano,bf16,logprob_time,4.545250930,3.742585897,1.399450710,19,
nano,bf16,training_time,3.485651261,1.562650919,3.274630414,19,
nano,bf16,refit_total_time,5.192611381,5.360574245,0.799506331,19,
nano,bf16,refit_transfer_time,1.793539001,1.787640393,0.037960473,18,
nano,bf16,total_tokens,49517.736842105,46262.000000000,8646.504546425,19,
nano,bf16,mean_generation_tokens,2985.993421053,2785.750000000,528.694561750,19,
nano,bf16,reward,0.032894737,0.000000000,0.048270528,19,
nano,bf16,generation_kl,0.002431769,0.002093139,0.000988243,19,
nano,bf16,policy_kl,9.016437560,0.003137105,39.002589714,19,
nano,mxfp8,e2e_throughput,36.709601452,37.170082092,12.049568091,19,34.379532612
nano,mxfp8,generation_throughput,59.274021450,54.828281403,19.980645960,19,56.159588350
nano,mxfp8,total_step_time,42.074787040,39.514846802,13.453986975,19,
nano,mxfp8,generation_time,25.757160187,27.355815887,5.835332463,19,
nano,mxfp8,logprob_time,3.018260316,2.539084673,1.394699847,19,
nano,mxfp8,training_time,2.837933980,1.421923757,2.606284615,19,
nano,mxfp8,refit_total_time,4.993630353,5.193546295,0.883052754,19,
nano,mxfp8,refit_transfer_time,2.695771005,2.708740830,0.068707760,18,
nano,mxfp8,total_tokens,46288.368421053,47124.000000000,10687.443713747,19,
nano,mxfp8,mean_generation_tokens,2784.226973684,2857.625000000,666.156821388,19,
nano,mxfp8,reward,0.052631579,0.000000000,0.081391858,19,
nano,mxfp8,generation_kl,0.004914107,0.004584555,0.001309278,19,
nano,mxfp8,policy_kl,0.042419600,0.006510391,0.153872345,19,
qwen30,bf16,e2e_throughput,2393.045307360,2432.356689453,157.031568962,19,2384.960030286
qwen30,bf16,generation_throughput,6444.885459498,6398.879882812,333.355532094,19,6440.876623269
qwen30,bf16,total_step_time,174.036552028,172.408828735,12.111729128,19,
qwen30,bf16,generation_time,64.443125474,64.738739014,1.802827150,19,
qwen30,bf16,logprob_time,19.613139504,19.766780853,1.062815100,19,
qwen30,bf16,training_time,77.998007523,76.338417053,3.947609537,19,
qwen30,bf16,refit_total_time,6.216110518,6.404613018,1.267187659,19,
qwen30,bf16,refit_transfer_time,3.461512367,3.393711448,0.270873100,18,
qwen30,bf16,total_tokens,6641123.526315790,6529416.000000000,307416.486604152,19,
qwen30,bf16,mean_generation_tokens,3133.735659951,3077.493164062,154.322545631,19,
qwen30,bf16,reward,0.525570518,0.518554688,0.053779256,19,
qwen30,bf16,generation_kl,0.001888060,0.001890176,0.000074267,19,
qwen30,bf16,policy_kl,159.735281079,0.002372703,645.541204560,19,
qwen30,mxfp8,e2e_throughput,2270.783974095,2311.447753906,134.288189578,19,2264.427468266
qwen30,mxfp8,generation_throughput,7780.990928248,7818.399414062,387.558504828,19,7776.003262205
qwen30,mxfp8,total_step_time,182.961053949,181.780853271,12.201829200,19,
qwen30,mxfp8,generation_time,53.279560491,53.182617188,1.689554083,19,
qwen30,mxfp8,logprob_time,36.636472401,35.945339203,2.193476274,19,
qwen30,mxfp8,training_time,78.032523306,76.921585083,4.354212578,19,
qwen30,mxfp8,refit_total_time,9.748542623,9.898576736,2.397805642,19,
qwen30,mxfp8,refit_transfer_time,6.946366681,6.888248205,0.210811085,18,
qwen30,mxfp8,total_tokens,6628832.578947368,6518475.000000000,309947.012773746,19,
qwen30,mxfp8,mean_generation_tokens,3127.730777138,3072.299316406,155.557115132,19,
qwen30,mxfp8,reward,0.528423109,0.526367188,0.053423260,19,
qwen30,mxfp8,generation_kl,0.003984719,0.003964996,0.000138656,19,
qwen30,mxfp8,policy_kl,66.749697540,0.017527791,285.930639194,19,
