job_id,model,mode,method,max_steps,max_new_tokens,min_tokens,temperature,top_p,top_k,target_model,draft_model,num_speculative_tokens,num_nodes,gpus_per_node,segment,gres_flag,use_system_env,ray_use_existing_env,system_pydeps_site,config,run_id,remote_repo,container,log_dir,dependency,manifest,enforce_eager,vllm_enable_prefix_caching,vllm_moe_backend,vllm_max_num_seqs,vllm_max_num_batched_tokens,wandb_enabled,wandb_project,wandb_name,wandb_url,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,max_steps_metric,completed_step_span,incomplete_step_span,partial_result_state,draft_training_enabled_steps,draft_refit_steps,error_count_sum,latest_error,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean,summary_source,exposed_generation_time_s_mean,exposed_generation_ratio_pct_mean,job_name,slurm_state,exit_code,elapsed,start,end,method_k,model_name,cluster,source_group,config_basis,source_priority,completed_last_step,gen_tps_speedup,e2e_tps_speedup,generation_time_speedup,e2e_step_time_speedup,isl,comparison_group,metric_state,notes,nodes_x_gpus,metric_window,cuda_graph_state,strict_match_eligible,baseline_match_state,evidence_period,canonical_snapshot,baseline_job_id,k,raw_state,result_state,exposed_generation_time_speedup,mean_generation_length,error_count,source_file,source_row_index,basis,resource_shape,config_segment_size,target_tensor_parallel_size,draft_tensor_parallel_size,attention_backend,moe_backend,max_num_seqs,max_num_batched_tokens,cohort,fuse_allreduce_rms,num_prompts_per_step,num_generations_per_prompt,strict_match_ready,alternate_source_groups,alternate_manifests
2258657,Qwen3-235B-A22B,sync,eagle3_k7,20.0,8192.0,,1.0,1.0,,,,,32.0,4.0,16.0,,,,,,,,,,,docs/lyris_qwen235b_sync_eagle3_absolute_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/bra22f2d,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,17.2267,,230.7437,114.5979,,,,108.7242,196.3758,,,,,0.00693,0.58389,,2.2059,,,,,,,,,,COMPLETED,,,,,eagle3_k7,Qwen3-235B-A22B,lyris,Lyris Qwen235B sync Eagle-3 PerfCfg CG-on absolute 2026-07-02,"normalized July performance-recipe result; resource=32x4, segment=16, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,,,,,,Lyris Qwen235B sync Eagle-3 PerfCfg CG-on absolute 2026-07-02,completed,"Exact Qwen3-235B sync performance recipe with CUDA Graph enabled, TRITON_ATTN, Triton MoE, segment 16, and no gres. Absolute Step 2-20 means; speedup intentionally omitted until a matched Step 2-20 baseline completes.",32x4,steps 2-20 (19 metrics),CG-on,True,unmatched_baseline,july-current,,,7.0,COMPLETED,completed,,5520.4135,0.0,docs/lyris_qwen235b_sync_eagle3_absolute_metrics_20260702.csv,2.0,,32x4,16.0,8.0,1.0,TRITON_ATTN,triton,,,standard,True,,,False,,
2258658,Qwen3-235B-A22B,sync,eagle3_k9,20.0,8192.0,,1.0,1.0,,,,,32.0,4.0,16.0,,,,,,,,,,,docs/lyris_qwen235b_sync_eagle3_absolute_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/y99qvnc9,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,13.408,,262.3216,131.1116,,,,95.8089,174.2063,,,,,0.00688,0.58265,,2.2067,,,,,,,,,,COMPLETED,,,,,eagle3_k9,Qwen3-235B-A22B,lyris,Lyris Qwen235B sync Eagle-3 PerfCfg CG-on absolute 2026-07-02,"normalized July performance-recipe result; resource=32x4, segment=16, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,,,,,,Lyris Qwen235B sync Eagle-3 PerfCfg CG-on absolute 2026-07-02,completed,"Exact Qwen3-235B sync performance recipe with CUDA Graph enabled, TRITON_ATTN, Triton MoE, segment 16, and no gres. Absolute Step 2-20 means; speedup intentionally omitted until a matched Step 2-20 baseline completes.",32x4,steps 2-20 (19 metrics),CG-on,True,unmatched_baseline,july-current,,,9.0,COMPLETED,completed,,5518.3136,0.0,docs/lyris_qwen235b_sync_eagle3_absolute_metrics_20260702.csv,3.0,,32x4,16.0,8.0,1.0,TRITON_ATTN,triton,,,standard,True,,,False,,
2260469,Qwen3-30B-A3B,async-1off,baseline,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/cj9hx0zo,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,300.2195,,,,,1384.4428,2826.5247,,,,,0.001913,0.525416,,,,,,,,,1.4737,,,COMPLETED,,,,,baseline,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,1.0,1.0,,1.0,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with SLURM exit 0:0. Async runs expose generation-worker throughput and exposed-generation time rather than the sync generation_time metric.,4x4,steps 2-20 (19 metrics),CG-on,True,baseline,july-current,,,0.0,COMPLETED,completed,1.0,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,2.0,final matched Step 2-20 means from W&B sampledHistory,4x4,2.0,1.0,,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2260470,Qwen3-30B-A3B,async-1off,eagle3,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/4nbdgivx,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,298.2111,,,,,1390.8812,2844.8575,,,,,0.001894,0.524774,,,,,,,,,1.4705,,,COMPLETED,,,,,eagle3_k5,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,1.0065,1.0047,,1.0067,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with SLURM exit 0:0. Exact async performance recipe plus static Eagle-3 K5; performance is statistically near neutral and reward/KL match the baseline.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,5.0,COMPLETED,completed,1.0022,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,3.0,final matched Step 2-20 means from W&B sampledHistory,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2261964,Qwen3-30B-A3B,async-1off,eagle3,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/2x8v2abe,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,284.3413,,,,,1458.6898,2982.8691,,,,,0.001901,0.52593,,,,,,,,,1.5219,,,COMPLETED,,,,,eagle3_k7,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,1.0553,1.0536,,1.0558,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with exit 0:0. Async-1off Eagle K7 improves E2E throughput by 5.4% and generation-worker throughput by 5.5%; reward and KL remain aligned with the matched baseline. Acceptance metrics are not emitted by the current async path.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,7.0,COMPLETED,completed,0.9683,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,8.0,final matched Step 2-20 means from W&B sampled history,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2261870,Qwen3-30B-A3B,async-1off,eagle3,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/6ikyrt2d,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,279.3265,,,,,1484.8788,3036.1276,,,,,0.001887,0.525442,,,,,,,,,1.4576,,,COMPLETED,,,,,eagle3_k9,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,1.0742,1.0725,,1.0748,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with exit 0:0. Async-1off Eagle K9 improves E2E throughput by 7.3% and generation-worker throughput by 7.4%; reward and KL remain aligned with the matched baseline. Acceptance metrics are not emitted by the current async path.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,9.0,COMPLETED,completed,1.0111,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,9.0,final matched Step 2-20 means from W&B sampled history,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2260582,Qwen3-30B-A3B,async-1off,pard,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/jswiovrk,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,344.5351,,,,,1205.5599,2457.6866,,,,,0.001903,0.525776,,,,,,,,,1.584,,,COMPLETED,,,,,pard_k1,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,0.8695,0.8708,,0.8714,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with exit 0:0. PARD K1 preserves async overlap but remains about 13% slower than the matched baseline.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,1.0,COMPLETED,completed,0.9304,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,4.0,final matched Step 2-20 means from W&B sampledHistory,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2260883,Qwen3-30B-A3B,async-1off,pard,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/xneksrne,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,284.3689,,,,,1459.9322,2984.4527,,,,,0.001897,0.526958,,,,,,,,,1.4367,,,COMPLETED_REPLICATE,,,,,pard_k1,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,1.0559,1.0545,,1.0557,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with exit 0:0. Independent five-hour K1 replicate improves E2E and generation-worker throughput by about 5.5%; correctness metrics remain aligned.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,1.0,COMPLETED_REPLICATE,completed,1.0258,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,10.0,final matched Step 2-20 means from W&B sampled history,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2260471,Qwen3-30B-A3B,async-1off,pard,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/sglqd4lf,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,449.1708,,,,,946.8545,1923.0951,,,,,0.001903,0.523206,,,,,,,,,144.2359,,,COMPLETED,,,,,pard_k16,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,0.6804,0.6839,,0.6684,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with exit 0:0. The 144.24s exposed-generation mean confirms async overlap collapse for PARD K16.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,16.0,COMPLETED,completed,0.0102,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,7.0,final matched Step 2-20 means from W&B sampledHistory,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
2260887,Qwen3-30B-A3B,async-1off,pard,20.0,4096.0,,1.0,1.0,,,,,4.0,4.0,4.0,,,,,,,,,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,False,,,,,true,,,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/af3lth34,,2-20,,19.0,,,20.0,,2-20,,,,,,,,,,,442.5463,,,,,986.6718,2004.0225,,,,,0.001902,0.524928,,,,,,,,,169.0774,,,COMPLETED_REPLICATE,,,,,pard_k16,Qwen3-30B-A3B,lyris,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,"normalized July performance-recipe result; resource=4x4, segment=4, attention=TRITON_ATTN, MoE=triton",-10.0,19/20 last 20,0.709,0.7127,,0.6784,,Lyris Qwen30 async-1off PerfCfg CG-on matched 2026-07-02,completed,Completed 20/20 with exit 0:0. Independent five-hour K16 replicate remains substantially slower and confirms async overlap collapse; correctness metrics remain aligned.,4x4,steps 2-20 (19 metrics),CG-on,True,matched,july-current,,,16.0,COMPLETED_REPLICATE,completed,0.0087,,,docs/lyris_qwen30_async1off_strict_matched_live_metrics_20260702.csv,13.0,final matched Step 2-20 means from W&B sampled history,4x4,2.0,1.0,1.0,TRITON_ATTN,triton,128.0,32768.0,standard,True,,,True,,
