job_id,model,mode,method,num_speculative_tokens,max_steps,max_new_tokens,num_nodes,gpus_per_node,config,run_id,job_name,state,exit_code,elapsed,start,end,nnodes,nodelist,log_dir,manifest
2174984,qwen30ba3b,sync,baseline,0,20,4096,4,4,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260622_lyris_nemorl_qwen30_pr2879_retry_nopydeps_baseline_step20_osl4096_temp1,online-qwen30ba3b-perfcfg-sync-baseline-step20-osl4096-temp1.0-N4xG4,CANCELLED by 2001147693,0:0,00:01:14,2026-06-21T22:16:13,2026-06-21T22:17:27,4,lyris[0261-0264],/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_pr2879_retry_nopydeps_baseline_step20_osl4096_temp1/logs/qwen30ba3b_sync_baseline,latest_lyris_nemorl_qwen30_pr2879_retry_nopydeps_baseline_step20_osl4096_temp1_20260622_jobs.csv
2174985,qwen32,sync,suffix,32,20,4096,4,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1,online-qwen32-perfcfg-sync-suffixk32-step20-osl4096-temp1.0-N4xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,4,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1/logs/qwen32_sync_suffix,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1_20260622_jobs.csv
2174986,qwen32,sync,eagle3,3,20,4096,4,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1,online-qwen32-perfcfg-sync-eagle3k3-step20-osl4096-temp1.0-N4xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,4,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1/logs/qwen32_sync_eagle3,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1_20260622_jobs.csv
2174987,qwen32,sync,pard,5,20,4096,4,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1,online-qwen32-perfcfg-sync-pardk5-step20-osl4096-temp1.0-N4xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,4,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1/logs/qwen32_sync_pard,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_sync_specdec_step20_osl4096_temp1_20260622_jobs.csv
2174988,qwen32,async1off,baseline,0,20,4096,8,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1,online-qwen32-perfcfg-async1off-baseline-step20-osl4096-temp1.0-N8xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,8,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1/logs/qwen32_async1off_baseline,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1_20260622_jobs.csv
2174989,qwen32,async1off,suffix,32,20,4096,8,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1,online-qwen32-perfcfg-async1off-suffixk32-step20-osl4096-temp1.0-N8xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,8,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1/logs/qwen32_async1off_suffix,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1_20260622_jobs.csv
2174990,qwen32,async1off,eagle3,3,20,4096,8,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1,online-qwen32-perfcfg-async1off-eagle3k3-step20-osl4096-temp1.0-N8xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,8,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1/logs/qwen32_async1off_eagle3,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1_20260622_jobs.csv
2174991,qwen32,async1off,pard,5,20,4096,8,4,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1,online-qwen32-perfcfg-async1off-pardk5-step20-osl4096-temp1.0-N8xG4,CANCELLED by 2001147693,0:0,00:00:00,None,2026-06-21T22:17:17,8,None assigned,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1/logs/qwen32_async1off_pard,latest_lyris_nemorl_qwen32_pr2879_retry_nopydeps_async1off_step20_osl4096_temp1_20260622_jobs.csv
2174992,qwen30ba3b,sync,baseline,0,20,4096,4,4,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260622_lyris_nemorl_qwen30_pr2879_retry_nopydeps_mlen8192_sync_baseline_eagle3_step20_osl4096_temp1,online-qwen30ba3b-perfcfg-sync-baseline-step20-osl4096-temp1.0-N4xG4,CANCELLED by 2001147693,0:0,00:01:11,2026-06-21T22:22:45,2026-06-21T22:23:56,4,lyris[0261-0264],/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_pr2879_retry_nopydeps_mlen8192_sync_baseline_eagle3_step20_osl4096_temp1/logs/qwen30ba3b_sync_baseline,latest_lyris_nemorl_qwen30_pr2879_retry_nopydeps_mlen8192_sync_baseline_eagle3_step20_osl4096_temp1_20260622_jobs.csv
2174993,qwen30ba3b,sync,eagle3,3,20,4096,4,4,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,20260622_lyris_nemorl_qwen30_pr2879_retry_nopydeps_mlen8192_sync_baseline_eagle3_step20_osl4096_temp1,online-qwen30ba3b-perfcfg-sync-eagle3k3-step20-osl4096-temp1.0-N4xG4,CANCELLED by 2001147693,0:0,00:06:12,2026-06-21T22:17:44,2026-06-21T22:23:56,4,lyris[0163-0166],/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260622_lyris_nemorl_qwen30_pr2879_retry_nopydeps_mlen8192_sync_baseline_eagle3_step20_osl4096_temp1/logs/qwen30ba3b_sync_eagle3,latest_lyris_nemorl_qwen30_pr2879_retry_nopydeps_mlen8192_sync_baseline_eagle3_step20_osl4096_temp1_20260622_jobs.csv
