domain,run_group,model,method,job_id,steps,completed_steps,max_steps,step_span,max_new_tokens,min_tokens,gen_tok_s_per_gpu,e2e_tok_s_per_gpu,generation_time_s,total_step_time_s,gen_speedup_vs_baseline,e2e_speedup_vs_baseline,acceptance_pct,mean_accept_len,draft_training_steps,draft_refit_steps,state,source_group,source_file,generation_time_speedup_vs_baseline,total_step_time_speedup_vs_baseline
Math RL,qwen17B out16k,Qwen3-17B,pard_k3,3231517,20,20,20.0,,16384.0,,137.9555,132.692,250.825,260.1385,,,75.56374522026267,3.2668199018249764,0.0,0.0,complete,qwen17b_out16k_20260616,docs/oci_hsg_qwen17b_out16k_nemorl_summary_20260616.csv,,
Math RL,qwen17B out16k,Qwen3-17B,pard_k3,3231518,1,0,1.0,,,,,,,,,,59.217,2.776,0.0,0.0,no completed step,qwen17b_out16k_20260616,docs/oci_hsg_qwen17b_out16k_nemorl_summary_20260616.csv,,
Math RL,qwen235B reduced64 temp1 OSL256,Qwen3-235B-A22B,baseline,3321180,9,9,9.0,,256.0,,4.9911111111111115,2.252222222222222,35.80555555555556,80.1711111111111,1.0,1.0,,,0.0,0.0,complete,mathrl_qwen235b_reduced64_20260615,docs/oci_hsg_mathrl_qwen235b_reduced64_temp1_pard_k3k5_summary_step2_10_20260615.csv,1.0,1.0
Math RL,qwen235B reduced64 temp1 OSL256,Qwen3-235B-A22B,pard_k3,3321423,9,9,9.0,,256.0,,7.654444444444445,2.604444444444445,23.30333333333333,69.1511111111111,1.5336153161175423,1.1563887518500249,61.778645833333336,2.8524479166666667,0.0,0.0,complete,mathrl_qwen235b_reduced64_20260615,docs/oci_hsg_mathrl_qwen235b_reduced64_temp1_pard_k3k5_summary_step2_10_20260615.csv,1.5364993086349117,1.1593611414615335
Math RL,qwen235B reduced64 temp1 OSL256,Qwen3-235B-A22B,pard_k5,3321424,9,9,9.0,,256.0,,8.16777777777778,2.714444444444444,21.895555555555557,66.37555555555555,1.63646482635797,1.2052294030587074,45.30212378228387,3.2655955515119026,0.0,0.0,complete,mathrl_qwen235b_reduced64_20260615,docs/oci_hsg_mathrl_qwen235b_reduced64_temp1_pard_k3k5_summary_step2_10_20260615.csv,1.6352887445448085,1.2078409052864174
Math RL,qwen32 online PARD-2 correctness,Qwen3-32B,online_pard2,3345352,5,5,5.0,,1024.0,,25.556,23.942,1411.548,1506.516,,,1.7241790177750418,1.0516438748492312,0.0,0.0,complete,mathrl_online_pard2_20260616,docs/oci_hsg_mathrl_qwen32_online_pard2_hardce_r11_summary_20260616.csv,,
Math RL,qwen8 official PARD-2 online comparison,Qwen3-8B,baseline,3288181,9,9,10.0,,256.0,128.0,225.469,74.678,7.813,23.469,1.0,1.0,,,0.0,0.0,complete,qwen8_pard2_online_20260613,docs/qwen8_pard2_official_comparison_metrics_20260613.csv,1.0,1.0
Math RL,qwen8 official PARD-2 online comparison,Qwen3-8B,online_pard2,3288183,9,9,10.0,,256.0,128.0,132.736,50.071,13.287,35.34,0.5887,0.6705,2.553,1.026,9.0,9.0,complete,qwen8_pard2_online_20260613,docs/qwen8_pard2_official_comparison_metrics_20260613.csv,0.5880183638142544,0.6640916808149405
Math RL,qwen8 official PARD-2 online comparison,Qwen3-8B,static_pard2,3288182,9,9,10.0,,256.0,128.0,136.891,61.916,12.898,28.594,0.6071,0.8291,1.836,1.018,0.0,0.0,complete,qwen8_pard2_online_20260613,docs/qwen8_pard2_official_comparison_metrics_20260613.csv,0.6057528298961079,0.8207665943904315
Math RL,step20 temp1 OSL1024,Qwen3-235B-A22B,baseline,3334220,9,8,20.0,1-8,1024.0,,17.6675,12.44875,127.5325,196.27875,1.0,1.0,,,0.0,0.0,partial_usable_with_errors,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,1.0,1.0
