model,isl,osl,runner,method,batch_size,effective_k,requested_batch_schedule_k,k_selection_basis,weight_dtype,kv_cache_dtype,tensor_parallel_size,expert_parallel,output_tok_s,output_tok_s_per_gpu,baseline_tok_s_per_gpu,speedup_vs_baseline,latency_s,acceptance_rate,mean_acceptance_length,num_drafts,num_draft_tokens,num_accepted_tokens,actual_output_tokens,expected_output_tokens,tokens_ok,job_id,vllm_version,vllm_commit,container_digest,harness_commit,cudagraph_mode,enforce_eager,cuda_graph_verified,cuda_graph_capture_completed,cuda_graph_capture_total,cuda_graph_pool_memory_gib,allocator_oom_warning
super,1000,10000,mrv1,baseline,1,0,,baseline,bfloat16,fp8,2,False,77.9669234733737,38.98346173668685,38.98346173668685,1.0,128.25951768399682,,,,,,10000,10000,True,2817792,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,ef505a5e01a566c97332fd1bb3935311caef6ef0,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,2,0,,baseline,bfloat16,fp8,2,False,159.6066114800509,79.80330574002545,79.80330574002545,1.0,125.30809228100043,,,,,,20000,20000,True,2817971,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,95aea00f4ba60ce252a2c350bf2b20470f46fff9,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,4,0,,baseline,bfloat16,fp8,2,False,312.16807993354774,156.08403996677387,156.08403996677387,1.0,128.13609901600103,,,,,,40000,40000,True,2817972,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,95aea00f4ba60ce252a2c350bf2b20470f46fff9,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,8,0,,baseline,bfloat16,fp8,2,False,621.8741601399269,310.93708006996343,310.93708006996343,1.0,128.64338981699984,,,,,,80000,80000,True,2817973,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,95aea00f4ba60ce252a2c350bf2b20470f46fff9,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,16,0,,baseline,bfloat16,fp8,2,False,1251.4034512583419,625.7017256291709,625.7017256291709,1.0,127.85644776599656,,,,,,160000,160000,True,2817970,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,95aea00f4ba60ce252a2c350bf2b20470f46fff9,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,32,0,,baseline,bfloat16,fp8,2,False,2416.3713296106916,1208.1856648053458,1208.1856648053458,1.0,132.42997716396349,,,,,,320000,320000,True,2817794,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,ef505a5e01a566c97332fd1bb3935311caef6ef0,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,128,0,,baseline,bfloat16,fp8,2,False,8368.976634498533,4184.488317249266,4184.488317249266,1.0,152.9458207259886,,,,,,1280000,1280000,True,2817793,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,ef505a5e01a566c97332fd1bb3935311caef6ef0,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,baseline,512,0,,baseline,bfloat16,fp8,2,False,10175.443925304731,5087.721962652366,5087.721962652366,1.0,503.17215028499777,,,,,,5120000,5120000,True,2818340,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,a75faeaace584ca809b7e9f902178f0c4c0368f7,PIECEWISE,False,True,83,83,1.44,True
super,1000,10000,mrv1,mtp_static_k1,1,1,,static,bfloat16,fp8,2,False,122.36650955544204,61.18325477772102,38.98346173668685,1.5694669496255182,81.72170666900638,0.9609727397528928,1.9609727397528927,5099.0,5099.0,4900.0,10000,10000,True,2818228,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,79aeffcf9104c2db65add761493aea198b9bc764,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,2,1,,static,bfloat16,fp8,2,False,237.4518727420123,118.72593637100616,79.80330574002545,1.4877320590926224,84.22759428698919,0.9473222979552094,1.9473222979552094,10270.0,10270.0,9729.0,20000,20000,True,2818104,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,2cd3a31d7e8901278a1c0d270ea226317708dd2b,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,4,1,,static,bfloat16,fp8,2,False,471.8146355156179,235.90731775780895,156.08403996677387,1.5114121713406914,84.7790572589729,0.9408054342552159,1.940805434255216,20610.0,20610.0,19390.0,40000,40000,True,2818105,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,2cd3a31d7e8901278a1c0d270ea226317708dd2b,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,8,1,,static,bfloat16,fp8,2,False,956.6356872107553,478.3178436053777,310.93708006996343,1.5383107202838342,83.62640142900636,0.9671699783592367,1.9671699783592367,40664.0,40664.0,39329.0,80000,80000,True,2818106,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,2cd3a31d7e8901278a1c0d270ea226317708dd2b,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,16,1,,static,bfloat16,fp8,2,False,1857.006673820498,928.503336910249,625.7017256291709,1.4839392299527343,86.1601642339956,0.9658884246743672,1.9658884246743673,81380.0,81380.0,78604.0,160000,160000,True,2818103,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,2cd3a31d7e8901278a1c0d270ea226317708dd2b,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,32,1,,static,bfloat16,fp8,2,False,3217.7333883244605,1608.8666941622303,1208.1856648053458,1.331638622298535,99.44888571598858,0.9706798866855524,1.9706798866855524,162380.0,162380.0,157619.0,320000,320000,True,2818229,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,79aeffcf9104c2db65add761493aea198b9bc764,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,128,1,,static,bfloat16,fp8,2,False,11125.693268904448,5562.846634452224,4184.488317249266,1.329397100123592,115.04901034594513,0.9593388778926388,1.9593388778926388,653253.0,653253.0,626691.0,1280000,1280000,True,2818230,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,79aeffcf9104c2db65add761493aea198b9bc764,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k1,512,1,,static,bfloat16,fp8,2,False,10606.57008498071,5303.285042490355,5087.721962652366,1.0423692728141163,482.71966893898207,0.9556329872082434,1.9556329872082434,2617936.0,2617936.0,2501786.0,5120000,5120000,True,2818342,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,a75faeaace584ca809b7e9f902178f0c4c0368f7,PIECEWISE,False,True,83,83,1.49,True
super,1000,10000,mrv1,mtp_static_k2,1,2,,static,bfloat16,fp8,2,False,164.52744775935625,82.26372387967812,38.98346173668685,2.1102211095394017,60.78013204596937,0.9236902050113895,2.847380410022779,3512.0,7024.0,6488.0,10000,10000,True,2818231,0.28.0,2cf0a69,sha256:41b54fb42c66a670a8b27e613ebef05898f24b9ab1bdab28bd00c877bd4935f4,79aeffcf9104c2db65add761493aea198b9bc764,PIECEWISE,False,True,83,83,1.49,True
