model,batch_size,selected_k,isl,osl,tok_s_gpu,speedup,matched_baseline_available,acceptance_rate,mean_accepted_length,expected_output_tokens,actual_output_tokens,tokens_ok,draft_counter_async_skew_tokens,draft_counter_residual_at_k0,target_piecewise_capture,target_full_capture,drafter_prefill_piecewise_capture,drafter_prefill_full_capture,drafter_decode_full_capture,job_id,topology,weights,kv_cache,vllm_version,patchset_id,container_artifact_sha256
super,1,5,1000,128,109.660059129804,,False,0.20634920634920634,2.0317460317460316,128,128,True,0.0,False,83/83,375/375,83/83,375/375,51/51,2820551,TP2/DP1/1-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
super,2,3,1000,128,178.2032553718638,,False,0.4716981132075472,2.4150943396226414,256,256,True,0.0,False,83/83,375/375,83/83,375/375,51/51,2820551,TP2/DP1/1-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
super,4,2,1000,128,44.76375958139241,,False,0.29375,1.5875,512,512,True,0.0,False,83/83,375/375,83/83,375/375,51/51,2820551,TP2/DP1/1-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
super,8,1,1000,128,711.6308418026861,,False,0.7916666666666666,1.8028169014084507,1024,1024,True,8.0,False,83/83,375/375,83/83,375/375,51/51,2820551,TP2/DP1/1-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
super,16,0,1000,128,872.0667470650184,,False,,,2048,2048,True,10.0,True,83/83,375/375,83/83,375/375,51/51,2820551,TP2/DP1/1-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
ultra,1,5,1000,128,25.33415296510529,,False,0.37777777777777777,2.888888888888889,128,128,True,0.0,False,83/83,375/375,83/83,375/375,51/51,2820571,TP8/DP1/EP/Ray/2-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
ultra,2,3,1000,128,31.796160822613388,,False,0.5845070422535211,2.7659574468085104,256,256,True,2.0,False,83/83,375/375,83/83,375/375,51/51,2820571,TP8/DP1/EP/Ray/2-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
ultra,4,2,1000,128,13.000583776202232,,False,0.7096018735362998,2.4360189573459716,512,512,True,5.0,False,83/83,375/375,83/83,375/375,51/51,2820571,TP8/DP1/EP/Ray/2-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
ultra,8,1,1000,128,101.45083957936326,,False,0.8048780487804879,1.8220640569395017,1024,1024,True,12.0,False,83/83,375/375,83/83,375/375,51/51,2820571,TP8/DP1/EP/Ray/2-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
ultra,16,0,1000,128,129.99600348610136,,False,,,2048,2048,True,11.0,True,83/83,375/375,83/83,375/375,51/51,2820571,TP8/DP1/EP/Ray/2-node,BF16,FP8,0.28.0,238e2ffcc14d,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066
