domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,total_gpus,basis,source,source_label
Math,Qwen3-235B-A22B,0.0,,1,4096,32768,baseline,3423796,1.9126832781443956,1.9126832781443956,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-235B-A22B,0.0,,1,4096,32768,suffix_k32,,15.30715057059265,1.9126832781443956,8.002971921960336,83.79409382134178,7.817495506291192,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_suffix_py312_retry1_metrics_20260613.csv,OCI 20260613 temp0 Math500 suffix
Math,Qwen3-235B-A22B,0.0,,1,4096,32768,eagle3_k3,,5.671275712703453,1.9126832781443956,2.9650887721491896,69.41583180471285,3.082474954141386,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,OCI 20260613 temp0 Math500 core
Math,Qwen3-235B-A22B,0.0,,1,4096,32768,pard_k5,,4.781790439743302,1.9126832781443956,2.5000429994778814,56.096258236813846,3.804812911840692,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,OCI 20260613 temp0 Math500 core
Math,Qwen3-235B-A22B,0.0,,1,4096,32768,pard2_k1,,1.6022696172492639,1.9126832781443956,0.8377077561966861,3.1097824804311056,1.031097824804311,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,OCI 20260613 temp0 Math500 core
Math,Qwen3-235B-A22B,0.0,,2,4096,32768,baseline,3423797,3.877196759719886,3.877196759719886,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-235B-A22B,0.0,,2,4096,32768,suffix_k32,,28.722186286463476,3.877196759719886,7.4079774812714305,86.03775276868582,8.31148790245761,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_suffix_py312_retry1_metrics_20260613.csv,OCI 20260613 temp0 Math500 suffix
Math,Qwen3-235B-A22B,0.0,,2,4096,32768,eagle3_k3,,10.943272164913713,3.877196759719886,2.8224701615876535,69.74386800984578,3.0923160402953735,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,OCI 20260613 temp0 Math500 core
Math,Qwen3-235B-A22B,0.0,,2,4096,32768,pard_k5,,10.404991985923173,3.877196759719886,2.6836378524867275,50.07886224503435,3.5039431122517177,4,reference vs 6/19 baseline; cross-run,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,OCI 20260613 temp0 Math500 core
Math,Qwen3-235B-A22B,0.0,,4,4096,32768,baseline,,7.8572543284511465,7.8572543284511465,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,4,4096,32768,suffix_k32,,51.6276044038515,7.8572543284511465,6.570692794925545,89.8443974564522,8.803498150016818,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,4,4096,32768,eagle3_k3,,15.911330027527615,7.8572543284511465,2.0250496372393894,56.976311546570756,2.7092893463971226,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,4,4096,32768,pard_k5,,17.940792068579746,7.8572543284511465,2.2833411416525076,55.728688216772106,3.786434410838605,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,4,4096,32768,pard2_k1,,4.9821399322755155,7.8572543284511465,0.6340815409570196,3.1820257270165166,1.0318202572701651,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,8,4096,32768,baseline,,15.52013014261271,15.52013014261271,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,8,4096,32768,suffix_k32,,61.08459623264491,15.52013014261271,3.935830155504207,86.68343617959084,7.793424853339686,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,8,4096,32768,eagle3_k3,,34.349584391555666,15.52013014261271,2.2132278580090015,60.85433418845797,2.825630025653739,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,8,4096,32768,pard_k5,,36.46495987208803,15.52013014261271,2.3495266816074136,53.885201313434514,3.6942600656717257,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,8,4096,32768,pard2_k1,,12.804274732257657,15.52013014261271,0.8250107837112598,4.31073246240594,1.0431073246240594,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,baseline,,23.52299106160737,23.52299106160737,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,suffix_k32,,121.45500821796541,23.52299106160737,5.163246795438189,80.44482479055941,6.783046237533998,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,eagle3_k3,,65.43887049071405,23.52299106160737,2.7819111234335727,65.32533956576229,2.9597601869728685,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,pard_k5,,59.30001600025247,23.52299106160737,2.5209385934358464,50.79573841770528,3.539786920885264,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,pard2_k1,,25.078928081965557,23.52299106160737,1.0661453731068105,5.102020359968085,1.051020203599681,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,baseline,,60.842495081365485,60.842495081365485,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,suffix_k32,,139.08885655856616,60.842495081365485,2.286047874475903,77.80479990423429,6.3957978525341685,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,eagle3_k3,,109.56184058858584,60.842495081365485,1.8007453580275976,59.11474588883364,2.773442376665009,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,pard_k5,,105.63504709780238,60.842495081365485,1.7362050480759412,51.41696379010315,3.5708481895051576,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
