model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,0,11.122726664994843,14727
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,0,40.622241769997345,111339
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,0,40.622241769997345,125497
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,0,40.622241769997345,58694
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,1,42.76805700799741,131072
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,1,21.466793675994268,39294
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,1,42.76805700799741,118229
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,1,42.77655710399995,128767
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,2,26.327714790000755,26972
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,2,5.3980339679983445,7151
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,2,27.244441793998703,60850
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,2,14.882465382004739,25832
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,3,38.20510376499442,88407
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,3,38.20510376499442,128616
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,3,7.394427035993431,9446
Nemotron3-Super-120B (FP8),openmath,baseline,0,-,4,nemotron3_super_openmath_rollout_baseline_20260713,3,12.560265228996286,20418
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,0,7.55436539099901,14812
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,0,26.980167950998293,106934
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,0,27.125284959001874,128708
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,0,25.523871156001405,63286
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,1,30.513611080001283,131072
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,1,15.563589595003577,35972
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,1,30.269252947997302,123939
Nemotron3-Super-120B (FP8),openmath,dynamic,3,greedy,4,nemotron3_super_openmath_rollout_dynamic_20260713c,1,30.333717763001914,130655
