model,bench,variant,k,sample_method,tp,tag,batch_size,output_tok_s,output_tok_s_per_gpu,wall_ms_per_output_token,mean_acceptance_length,acceptance_rate,partial
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,1,322.2892377628001,322.2892377628001,3.102802957187123,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,2,539.6510376590762,539.6510376590762,3.7060986830965703,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,4,915.3400599787917,915.3400599787917,4.3699606025029425,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,8,1529.0085897420036,1529.0085897420036,5.232148500454059,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,16,2434.3103196910383,2434.3103196910383,6.572703517122136,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,32,4051.5689682624675,4051.5689682624675,7.898174818365078,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,64,7005.230149927316,7005.230149927316,9.136031026855562,,,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_profile_k0_20260712,128,11846.486279000328,11846.486279000328,10.80489159278386,,,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,1,454.1435699537062,454.1435699537062,2.2019468427174615,1.8358744394618833,0.8358744394618834,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,2,621.6710773514665,621.6710773514665,3.2171353515764167,1.8533272974196469,0.8533272974196469,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,4,1305.479419176285,1305.479419176285,3.064008471710622,1.8217623497997328,0.821762349799733,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,8,2059.266451117358,2059.266451117358,3.88487851859054,1.8343228408199843,0.8343228408199843,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,16,3415.4974928454885,3415.4974928454885,4.684529862345244,1.8285873813512006,0.8285873813512005,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,32,5908.929410777971,5908.929410777971,5.415532624510888,1.823796396847938,0.823796396847938,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,64,10583.096515625486,10583.096515625486,6.047379413530507,1.824625670311303,0.824625670311303,False
Qwen3-30B-A3B,openmath,fixed_k1,1,greedy,1,qwen3_30ba3b_openmath_profile_k1_20260712,128,18025.701453619877,18025.701453619877,7.100971927741284,1.8216823573584013,0.8216823573584013,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,1,437.36009109932917,437.36009109932917,2.2864454721656102,1.8284182305630026,0.8284182305630027,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,2,602.2273424132882,602.2273424132882,3.3210049746088544,1.8362494392104083,0.8362494392104083,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,4,1262.880836687486,1262.880836687486,3.1673613881828544,1.821579532814238,0.821579532814238,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,8,2089.0863244912725,2089.0863244912725,3.8294252880852753,1.8420519743503205,0.8420519743503206,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,16,3400.891487470002,3400.891487470002,4.704648783693699,1.8332587036829733,0.8332587036829733,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,32,5796.766200670397,5796.766200670397,5.520319242183547,1.8305013694036107,0.8305013694036107,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,64,9831.785224552805,9831.785224552805,6.5094993979499804,1.8234434375913475,0.8234434375913475,False
Qwen3-30B-A3B,openmath,fixed_k1_prob,1,probabilistic,1,qwen3_30ba3b_openmath_profile_k1_probabilistic_20260712,128,16449.927073914947,16449.927073914947,7.781189510740916,1.823708333623348,0.8237083336233478,False
Qwen3-30B-A3B,openmath,fixed_k2,2,greedy,1,qwen3_30ba3b_openmath_profile_k2_20260712,1,551.2061661415643,551.2061661415643,1.8142032172825395,2.512883435582822,0.756441717791411,False
Qwen3-30B-A3B,openmath,fixed_k2,2,greedy,1,qwen3_30ba3b_openmath_profile_k2_20260712,2,651.8224017202261,651.8224017202261,3.068320442380923,2.5324675324675328,0.7662337662337663,False
