model,bench,variant,k,sample_method,tp,tag,step,num_sequences,wall_s,output_tok_s,len_p50,len_p90,len_max,total_tokens,mean_acceptance_length
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,0,64,155.1718139788136,3378.7579493759335,8192,8192,8192,524288,
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,1,64,159.51506192306988,3153.9654872380324,8192,8192,8192,503105,
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,2,64,158.08033721800894,2792.6306824053745,8192,8192,8192,441460,
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,3,64,158.90510313212872,2990.854230809833,8192,8192,8192,475262,
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,0,64,163.51376556698233,3206.3844788971537,8192,8192,8192,524288,
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,1,64,286.98056779196486,1752.4148198234936,8192,8192,8192,502909,1.6553384125658823
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,2,64,377.79294377123006,1178.7329735561675,8192,8192,8192,445317,1.7778065745911782
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,3,64,359.0701004480943,1346.2970027210063,8192,8192,8192,483415,1.6223629226288465
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,0,64,426.4440442629857,1229.4414872322018,8192,8192,8192,524288,2.536395038315659
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,1,64,430.91714737098664,1167.3380905562647,8192,8192,8192,503026,2.4135174558086865
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,2,64,381.02175629598787,1193.3019374536636,8192,8192,8192,454674,2.713009541882239
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,3,64,493.51523761899443,981.9210493640672,8192,8192,8192,484593,2.21882197790121
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,0,64,138.09634968900355,2032.6677760284936,4820,8029,8192,280704,
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,1,64,61.86773306096438,2539.789195850498,2331,3148,3861,157131,
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,2,64,146.445759988972,2156.709760827382,4254,7775,8192,315841,
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,3,64,126.63715488795424,2461.7182869895105,4778,6182,8192,311745,
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,0,64,246.2114685360002,1138.2938482372977,4463,8052,8192,280261,2.045930983391565
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,1,64,103.44236148600066,1460.1464799355058,2298,3200,3763,151041,2.0105288762248943
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,2,64,385.7048446160006,853.3986663499251,5010,8192,8192,329160,1.7456891131150087
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,3,64,196.0413472049986,1474.0869929740597,4462,5527,6231,288982,1.8803267528931245
Qwen3-235B-A22B,math500,fixed_k3,3,greedy,4,qwen3_235b_math500_rollout_fixed_k3_20260712,0,64,304.9917439590208,918.9724166358376,4629,8192,8192,280279,2.730449186397739
Qwen3-235B-A22B,math500,fixed_k3,3,greedy,4,qwen3_235b_math500_rollout_fixed_k3_20260712,1,64,116.64178619207814,1319.9729275961365,2392,2970,3724,153964,2.877603679742717
