model,bench,variant,k,sample_method,tp,tag,num_steps,mean_step_wall_s,mean_output_tok_s,mean_output_tok_s_per_gpu,partial
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,4,157.91807906300528,3079.0520874572935,769.7630218643234,False
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,4,296.8393443945679,1870.9573187494552,467.7393296873638,False
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,4,432.97454638723866,1143.0006411515494,285.75016028788735,False
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,4,118.26174940672354,2297.721254923971,574.4303137309928,False
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,4,232.85000546075003,1231.481496874197,307.8703742185493,False
Qwen3-235B-A22B,math500,fixed_k3,3,greedy,4,qwen3_235b_math500_rollout_fixed_k3_20260712,4,271.7989272342529,1055.0483465531763,263.7620866382941,False
Qwen3-235B-A22B,openmath,baseline,0,-,4,qwen3_235b_openmath_rollout_baseline_20260712c,4,156.65267105950625,2844.3492435090097,711.0873108772524,False
Qwen3-235B-A22B,openmath,dynamic,5,greedy,4,qwen3_235b_openmath_rollout_dynamic_20260712,4,333.3009527532413,1373.7377167022278,343.43442917555694,False
Qwen3-235B-A22B,openmath,fixed_k3,3,greedy,4,qwen3_235b_openmath_rollout_fixed_k3_20260712,4,422.4726159417478,1057.7834262280664,264.4458565570166,False
Qwen3-235B-A22B,swe_verified,baseline,0,-,4,qwen3_235b_swe_verified_rollout_baseline_20260712,4,142.53465943556512,2226.436422000723,556.6091055001807,False
Qwen3-235B-A22B,swe_verified,dynamic,5,greedy,4,qwen3_235b_swe_verified_rollout_dynamic_20260712,4,479.056848354001,688.8333326343502,172.20833315858755,False
Qwen3-235B-A22B,swe_verified,fixed_k3,3,greedy,4,qwen3_235b_swe_verified_rollout_fixed_k3_20260712,4,455.6726500390214,716.2018564014129,179.05046410035322,False
Qwen3-30B-A3B (40K),openmath,baseline,0,-,2,qwen3_30ba3b_40k_openmath_rollout_baseline_20260712,2,155.91744272247888,7746.6295743229275,3873.3147871614638,False
Qwen3-30B-A3B (40K),openmath,dynamic,5,greedy,2,qwen3_30ba3b_40k_openmath_rollout_dynamic_20260712,2,245.77295057300944,5147.718069127538,2573.859034563769,False
Qwen3-30B-A3B (40K),openmath,fixed_k3,3,greedy,2,qwen3_30ba3b_40k_openmath_rollout_fixed_k3_20260712,2,131.45122110500233,9679.190394394976,4839.595197197488,False
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,4,54.270854849746684,9657.117055089591,9657.117055089591,False
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,4,31.68041196752165,16550.13244703082,16550.13244703082,False
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,4,29.10169926423987,18017.393961204616,18017.393961204616,False
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,4,48.18865037988871,8299.549819218208,8299.549819218208,False
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,4,25.742226896749344,15653.633377252472,15653.633377252472,False
