source,job_id,model,method,shape,batch_size,output_tok_s_per_gpu,speedup_vs_final_baseline,acceptance_pct,mean_acceptance_length,latest_generation_tok_s,matching_live_baseline_tok_s,provisional_live_speedup,live_acceptance_pct,live_mean_acceptance_length,label
final_breakdown,,Qwen/Qwen3-14B,baseline,n4 ISL4096/OSL32768 BS1,1,33.907314369177826,1.0,,,,,,,,qwen14_baseline
final_breakdown,,Qwen/Qwen3-14B,suffix K5,n4 ISL4096/OSL32768 BS1,1,141.97905254613065,4.187269183288412,98.72879816946937,5.878061911170929,,,,,,qwen14_suffix_k5
final_breakdown,,Qwen/Qwen3-14B,PARD-2 draft K11,n4 ISL4096/OSL32768 BS1,1,16.739527889350732,0.49368486418868884,1.5776373045860719,1.173540103504468,,,,,,qwen14_pard2_k11
final_breakdown,,Qwen/Qwen3-14B,PARD-2 draft K5,n4 ISL4096/OSL32768 BS1,1,16.403811123978063,0.48378385104098165,3.258801817149347,1.1629400908574674,,,,,,qwen14_pard2_k5
final_breakdown,,Qwen/Qwen3-14B,PARD-2 draft K9,n4 ISL4096/OSL32768 BS1,1,16.64648684082381,0.4909408825358246,1.9235550463733697,1.1731199541736033,,,,,,qwen14_pard2_k9
final_breakdown,,Qwen/Qwen3-14B,baseline,n4 ISL4096/OSL32768 BS2,2,68.20660956363463,1.0,,,,,,,,qwen14_baseline
final_breakdown,,Qwen/Qwen3-14B,suffix K5,n4 ISL4096/OSL32768 BS2,2,277.93411631370543,4.074885382690098,99.19815785641474,5.93529251947111,,,,,,qwen14_suffix_k5
final_breakdown,,Qwen/Qwen3-14B,PARD-2 draft K11,n4 ISL4096/OSL32768 BS2,2,31.50653924800821,0.4619279487659271,1.5808860648182828,1.173897467130011,,,,,,qwen14_pard2_k11
final_breakdown,,Qwen/Qwen3-14B,PARD-2 draft K5,n4 ISL4096/OSL32768 BS2,2,31.09177321858571,0.4558469247702169,3.509744307225944,1.1754872153612972,,,,,,qwen14_pard2_k5
final_breakdown,,Qwen/Qwen3-14B,PARD-2 draft K9,n4 ISL4096/OSL32768 BS2,2,31.30960967503372,0.45904069818663007,1.9274061738674562,1.173466555648071,,,,,,qwen14_pard2_k9
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 native K3,n1 ISL4096/OSL256 BS1,1,3.2997482230097024,,34.12698412698413,2.0238095238095237,,,,,,qwen235b_n1_isl4096_osl256_pard2_native_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,baseline,n1 ISL4096/OSL65536 BS1,1,2.0899986059320432,1.0,,,,,,,,qwen235b_n1_isl4096_osl65536_baseline
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K32,n1 ISL4096/OSL65536 BS1,1,3.8240193215453044,1.8296755369556659,38.92596588104076,2.881401617250674,,,,,,qwen235b_n1_isl4096_osl65536_suffix_k32
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K8,n1 ISL4096/OSL65536 BS1,1,4.399379918006449,2.1049678719974687,46.38162359697207,3.1325972155544886,,,,,,qwen235b_n1_isl4096_osl65536_suffix_k8
final_breakdown,,Qwen/Qwen3-235B-A22B,Eagle-3 K3,n1 ISL4096/OSL65536 BS1,1,2.2884432142998206,1.0949496367148437,21.83638077920329,1.6550914233760987,,,,,,qwen235b_n1_isl4096_osl65536_eagle3_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,baseline,n16 ISL4096/OSL1024 BS1,1,2.0380529142629404,1.0,,,,,,,,qwen235b_n16_isl4096_osl1024_baseline
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K1,n16 ISL4096/OSL1024 BS1,1,2.8336848090632207,1.3903882422444462,34.903922084759145,1.3490392208475914,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k1
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K2,n16 ISL4096/OSL1024 BS1,1,2.9760834618554064,1.4602581910547223,29.09881229337578,1.4473832831325302,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k2
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K32,n16 ISL4096/OSL1024 BS1,1,3.007729989495588,1.475786015390739,23.81605367549831,1.4619549729267598,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k32
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K4,n16 ISL4096/OSL1024 BS1,1,3.0632763872772983,1.5030406550485118,26.511335012594454,1.4891083357537032,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k4
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K8,n16 ISL4096/OSL1024 BS1,1,3.012302439813801,1.478029553959445,23.955816361753538,1.461260919103684,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k8
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 draft K3,n16 ISL4096/OSL1024 BS1,1,3.702106949928033,1.8164920665305178,38.85510312004231,2.1656530936012692,,,,,,qwen235b_n16_isl4096_osl1024_pard2_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 draft K5,n16 ISL4096/OSL1024 BS1,1,3.8575510821650423,1.8927629676190822,26.22197151318573,2.3110985756592863,,,,,,qwen235b_n16_isl4096_osl1024_pard2_k5
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 native K3,n16 ISL4096/OSL1024 BS1,1,3.6812452473962347,1.8062559718806677,38.85510312004231,2.1656530936012692,,,,,,qwen235b_n16_isl4096_osl1024_pard2_native_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD K3,n16 ISL4096/OSL1024 BS1,1,3.8242364112905283,1.8764166447923454,40.76536843533722,2.222961053060117,,,,,,qwen235b_n16_isl4096_osl1024_pard_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD K5,n16 ISL4096/OSL1024 BS1,1,4.00005702223167,1.9626855584749554,27.95551002487926,2.397775501243963,,,,,,qwen235b_n16_isl4096_osl1024_pard_k5
final_breakdown,,Qwen/Qwen3-235B-A22B,Eagle-3 K1,n16 ISL4096/OSL1024 BS1,1,3.375769483893661,1.6563698912177187,64.56930344758267,1.6456930344758267,,,,,,qwen235b_n16_isl4096_osl1024_eagle3_k1
final_breakdown,,Qwen/Qwen3-235B-A22B,Eagle-3 K3,n16 ISL4096/OSL1024 BS1,1,4.234709353569457,2.077821102648326,38.98162868751104,2.169448860625331,,,,,,qwen235b_n16_isl4096_osl1024_eagle3_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,baseline,n16 ISL4096/OSL1024 BS2,2,4.075931927006825,1.0,,,,,,,,qwen235b_n16_isl4096_osl1024_baseline
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K1,n16 ISL4096/OSL1024 BS2,2,5.857147995022297,1.437008296486324,40.11185877829241,1.401118587782924,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k1
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K2,n16 ISL4096/OSL1024 BS2,2,6.52453514898109,1.6007468392074953,35.75629263702658,1.6098906610492527,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k2
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K32,n16 ISL4096/OSL1024 BS2,2,6.470034853747274,1.5873755915493337,27.472340425531915,1.6762333717398135,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k32
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K4,n16 ISL4096/OSL1024 BS2,2,6.5258202956511395,1.6010621405160215,28.478471549217776,1.62975813858557,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k4
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K8,n16 ISL4096/OSL1024 BS2,2,6.577703325181619,1.6137912612323677,27.068415149685098,1.6472408457968024,,,,,,qwen235b_n16_isl4096_osl1024_suffix_k8
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 draft K3,n16 ISL4096/OSL1024 BS2,2,7.123260786740347,1.7476397825837438,39.14409630023013,2.1743228890069037,,,,,,qwen235b_n16_isl4096_osl1024_pard2_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 draft K5,n16 ISL4096/OSL1024 BS2,2,7.3574400849696024,1.8050939556226997,25.762948485271536,2.2881474242635766,,,,,,qwen235b_n16_isl4096_osl1024_pard2_k5
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD-2 native K3,n16 ISL4096/OSL1024 BS2,2,6.923049603394577,1.6985194373642405,38.949922788440325,2.16849768365321,,,,,,qwen235b_n16_isl4096_osl1024_pard2_native_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD K3,n16 ISL4096/OSL1024 BS2,2,7.44356405967891,1.826223841070162,41.61976664378861,2.248592999313658,,,,,,qwen235b_n16_isl4096_osl1024_pard_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,PARD K5,n16 ISL4096/OSL1024 BS2,2,7.614007456277922,1.8680408781677804,27.276663299177372,2.3638331649588684,,,,,,qwen235b_n16_isl4096_osl1024_pard_k5
final_breakdown,,Qwen/Qwen3-235B-A22B,Eagle-3 K1,n16 ISL4096/OSL1024 BS2,2,6.679344380078894,1.6387281484810996,64.61244596360712,1.6461244596360711,,,,,,qwen235b_n16_isl4096_osl1024_eagle3_k1
final_breakdown,,Qwen/Qwen3-235B-A22B,Eagle-3 K3,n16 ISL4096/OSL1024 BS2,2,8.036087449238243,1.971595108346074,39.45088631214181,2.1835265893642544,,,,,,qwen235b_n16_isl4096_osl1024_eagle3_k3
final_breakdown,,Qwen/Qwen3-235B-A22B,baseline,n2 ISL4096/OSL32768 BS1,1,2.0859554165445005,1.0,,,,,,,,qwen235b_n2_isl4096_osl32768_baseline
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K1,n2 ISL4096/OSL32768 BS1,1,3.7782477175513756,1.8112792284938908,82.10073229358824,1.8210073229358823,,,,,,qwen235b_n2_isl4096_osl32768_suffix_k1
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K2,n2 ISL4096/OSL32768 BS1,1,5.132711089345843,2.460604406324494,77.91923971449194,2.478355143031041,,,,,,qwen235b_n2_isl4096_osl32768_suffix_k2
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K32,n2 ISL4096/OSL32768 BS1,1,12.604360998908717,6.042488204176737,82.62983091787439,6.279637310697405,,,,,,qwen235b_n2_isl4096_osl32768_suffix_k32
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K4,n2 ISL4096/OSL32768 BS1,1,7.008107162693481,3.3596629664802684,75.42565545215159,3.4220588235294116,,,,,,qwen235b_n2_isl4096_osl32768_suffix_k4
final_breakdown,,Qwen/Qwen3-235B-A22B,suffix K8,n2 ISL4096/OSL32768 BS1,1,11.651469207946821,5.585675089474404,86.35486904818835,5.8857323232323235,,,,,,qwen235b_n2_isl4096_osl32768_suffix_k8
