mode,job_id,bs,completed,total_output_tokens,output_tps,total_tps,request_tps,mean_ttft_ms
mxfp8_bf16kv,2131234,1,10,100000,115.7778960512879,127.3556856564167,0.01157778960512879,3243.710474309046
mxfp8_bf16kv,2131234,2,20,200000,251.61375176365374,276.7751269400191,0.025161375176365373,300.13197290245444
mxfp8_bf16kv,2131234,4,40,400000,497.79190294094826,547.5710932350431,0.049779190294094826,498.23543216334656
mxfp8_bf16kv,2131234,8,80,800000,951.7466725050438,1046.9213397555482,0.09517466725050437,872.1195853257086
mxfp8_bf16kv,2131234,16,160,1600000,1661.0653201917346,1827.171852210908,0.16610653201917344,2259.9112999698264
mxfp8_bf16kv,2131234,32,320,3200000,2417.101470237195,2658.8116172609148,0.2417101470237195,2263.993744266554
mxfp8_fp8kv,2131235,1,10,100000,119.45174179904912,131.396915978954,0.011945174179904912,3203.3492378133815
mxfp8_fp8kv,2131235,2,20,200000,254.68384842242574,280.1522332646683,0.025468384842242574,295.65330075856764
mxfp8_fp8kv,2131235,4,40,400000,500.1275688105485,550.1403256916034,0.05001275688105485,479.0776353183901
mxfp8_fp8kv,2131235,8,80,800000,956.5233491978165,1052.1756841175982,0.09565233491978165,866.8969003483653
mxfp8_fp8kv,2131235,16,160,1600000,1663.8024407114992,1830.1826847826492,0.16638024407114993,2221.285034218454
mxfp8_fp8kv,2131235,32,320,3200000,2427.5539598555442,2670.3093558410983,0.2427553959855544,2283.874446918344
