domain,dataset,model,source,batch_size,method,measurement,tok_s_per_gpu,baseline_tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_acceptance_length,job_id,state,final_rows,note
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,Lyris,1,Suffix K32,final_breakdown,15.984290318025291,1.8787992711387316,8.507715839349505,83.79409382134178,7.817495506291192,,,1,math500_osl32k_qwen235b_suffix_k32
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,Lyris,1,PARD K5,final_breakdown,6.30997421417052,1.8787992711387316,3.358514297456627,56.096258236813846,3.804812911840692,,,1,math500_osl32k_qwen235b_pard_k5
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,Lyris,1,Eagle-3 K3,final_breakdown,6.191062021824798,1.8787992711387316,3.295222707890675,69.41583180471285,3.082474954141386,,,1,math500_osl32k_qwen235b_eagle3_k3
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,Lyris,2,Suffix K32,final_breakdown,32.1754673637065,,,88.71337013867088,8.710948419301165,,,1,math500_osl32k_qwen235b_suffix_k32
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K5,final_breakdown,10.590819712249058,,,50.07886224503435,3.5039431122517177,,,1,math500_osl32k_qwen235b_pard_k5
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K3,final_breakdown,12.003517572303213,,,69.74386800984578,3.0923160402953735,,,1,math500_osl32k_qwen235b_eagle3_k3
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,baseline,final_breakdown,1.8787992711387316,1.8787992711387316,1.0,,,,,1,math500_osl32k_qwen235b_baseline
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,Suffix K32,final_breakdown,15.30715057059265,1.8787992711387316,8.147304933387087,83.79409382134178,7.817495506291192,,,1,math500_osl32k_qwen235b_suffix_k32
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,PARD K5,final_breakdown,4.781790439743302,1.8787992711387316,2.545131091542888,56.096258236813846,3.804812911840692,,,1,math500_osl32k_qwen235b_pard_k5
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,PARD K9,final_breakdown,6.095855043398037,1.8787992711387316,3.244548333097536,30.21832491439166,3.7196492422952496,,,1,math500_osl32k_qwen235b_pard_k9
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,PARD K11,final_breakdown,5.87264044874567,1.8787992711387316,3.1257412853829187,24.848329488165426,3.733316243698197,,,1,math500_osl32k_qwen235b_pard_k11
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,PARD-2 K1,final_breakdown,1.6022696172492639,1.8787992711387316,0.8528157541162636,3.1097824804311056,1.031097824804311,,,1,math500_osl32k_qwen235b_official_pard2_k1
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,PARD-2 K9,final_breakdown,1.6419241916963523,1.8787992711387316,0.8739220931787937,0.3296008826599908,1.0296640794393992,,,1,math500_osl32k_qwen235b_official_pard2_k9
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,PARD-2 K11,final_breakdown,1.650841368800794,1.8787992711387316,0.8786683038258933,0.255795694331633,1.0281375263764796,,,1,math500_osl32k_qwen235b_official_pard2_k11
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,Eagle-3 K3,final_breakdown,5.671275712703453,1.8787992711387316,3.0185639306034644,69.41583180471285,3.082474954141386,,,1,math500_osl32k_qwen235b_eagle3_k3
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,Eagle-3 K9,final_breakdown,5.107016625981676,1.8787992711387316,2.7182343023192344,22.261942954916968,3.003574865942527,,,1,math500_osl32k_qwen235b_eagle3_k9
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,1,Eagle-3 K11,final_breakdown,4.7323647176402615,1.8787992711387316,2.5188240118764775,18.21494269875231,3.003643696862754,,,1,math500_osl32k_qwen235b_eagle3_k11
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,2,Suffix K32,final_breakdown,28.722186286463476,,,86.03775276868582,8.31148790245761,,,1,math500_osl32k_qwen235b_suffix_k32
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,2,PARD K5,final_breakdown,10.404991985923173,,,50.07886224503435,3.5039431122517177,,,1,math500_osl32k_qwen235b_pard_k5
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,2,PARD K9,final_breakdown,12.304378218932332,,,32.54691528269081,3.9292223754421727,,,1,math500_osl32k_qwen235b_pard_k9
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,2,PARD K11,final_breakdown,12.761597757625093,,,29.977347242921017,4.297508196721312,,,1,math500_osl32k_qwen235b_pard_k11
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,2,Eagle-3 K3,final_breakdown,10.943272164913713,,,69.74386800984578,3.0923160402953735,,,1,math500_osl32k_qwen235b_eagle3_k3
MATH500 OSL32K,math500,Qwen/Qwen3-235B-A22B,OCI-HSG,2,Eagle-3 K9,final_breakdown,10.663916819810526,,,24.310673314686447,3.1879605983217805,,,1,math500_osl32k_qwen235b_eagle3_k9
